regime,seed,query_id,main_nDCG,abl_nDCG,abl_served,absdiff
asymmetric,0,pancreas_120,0.0,0.0,True,0.0
asymmetric,0,pancreas_124,0.67175898907361,0.67175898907361,True,0.0
asymmetric,0,pancreas_130,0.31708532520472715,0.3170853252047271,True,5.551115123125783e-17
asymmetric,0,pancreas_131,0.31708532520472715,0.3170853252047271,True,5.551115123125783e-17
asymmetric,0,pancreas_159,0.14465249243306436,0.1446524924330643,True,5.551115123125783e-17
asymmetric,0,pancreas_169,0.0,0.0,True,0.0
asymmetric,0,pancreas_186,0.31708532520472715,0.3170853252047271,True,5.551115123125783e-17
asymmetric,0,pancreas_193,0.3765744191624098,0.3765744191624098,True,0.0
asymmetric,0,pancreas_199,0.0,0.0,True,0.0
asymmetric,0,pancreas_204,0.0,0.0,True,0.0
asymmetric,0,pancreas_207,0.0,0.0,True,0.0
asymmetric,0,pancreas_213,0.0,0.0,True,0.0
asymmetric,0,pancreas_214,0.41638241380547375,0.4163824138054737,True,5.551115123125783e-17
asymmetric,0,pancreas_229,0.0,0.0,True,0.0
asymmetric,0,pancreas_244,1.0,1.0,True,0.0
asymmetric,0,pancreas_246,0.7240423949810295,0.7240423949810295,True,0.0
asymmetric,0,pancreas_255,0.46975579500086945,0.4697557950008694,True,5.551115123125783e-17
asymmetric,0,pancreas_258,1.0,1.0,True,0.0
asymmetric,0,pancreas_266,0.583024471214314,0.583024471214314,True,0.0
asymmetric,0,pancreas_269,0.14496557874078222,0.1449655787407822,True,2.7755575615628914e-17
asymmetric,0,pancreas_280,1.0,1.0,True,0.0
asymmetric,0,pancreas_283,1.0,1.0,True,0.0
asymmetric,0,pancreas_289,0.0,0.0,True,0.0
asymmetric,0,pancreas_294,0.5067837010870874,0.5067837010870874,True,0.0
asymmetric,0,pancreas_297,0.0,0.0,True,0.0
asymmetric,0,pancreas_300,0.07336392209936007,0.07336392209936,True,6.938893903907228e-17
asymmetric,0,pancreas_303,0.0,0.0,True,0.0
asymmetric,0,pancreas_304,0.0454741662544366,0.0454741662544366,True,0.0
asymmetric,0,pancreas_315,0.180016047963362,0.180016047963362,True,0.0
asymmetric,0,pancreas_328,0.0,0.0,True,0.0
