query_id,track,kendall_tau,spearman_rho,top10_overlap
Q0000,ref,0.9999999999999999,1.0,1.0
Q0001,ref,0.9999999999999999,1.0,1.0
Q0002,ref,0.7049941927990708,0.766631553358723,1.0
Q0003,ref,0.8812083973374295,0.9346678187403994,1.0
Q0004,ref,0.9465737514518002,0.9808767522891176,0.9
Q0005,ref,0.1745292176276451,0.06146982488083189,0.1
Q0006,ref,0.3038245000970685,0.24597542564079367,0.0
Q0007,ref,0.9180747567844341,0.9634216589861753,1.0
Q0008,ref,0.11790123456790123,0.022064137308039744,0.3
Q0009,ref,0.08734177215189873,-0.04022503516174402,0.1
Q0010,ref,0.8545826932923706,0.9075460829493089,1.0
Q0011,ref,0.7607433217189314,0.8223806822785835,1.0
Q0012,ref,0.875064004096262,0.9298675115207375,1.0
Q0013,ref,0.22681704260651633,0.2432590095929479,0.0
Q0014,ref,0.044303797468354424,-0.10998593530239101,0.1
Q0015,ref,0.9140534262485482,0.9622396888420711,0.9
Q0016,ref,0.7607433217189314,0.8223806822785835,1.0
Q0017,ref,0.3333333333333333,0.37058290546662637,0.2
Q0018,ref,0.8658474142345108,0.9158506144393241,0.9
Q0019,ref,0.8443420378904248,0.8955933179723503,1.0
Q0020,ref,0.20443037974683542,0.1600796999531177,0.1
Q0021,ref,0.08607594936708861,-0.06844819503047352,0.0
Q0022,ref,0.7607433217189314,0.8194635766955676,1.0
Q0023,ref,0.853558627752176,0.90639400921659,1.0
Q0024,ref,0.21658986175115205,0.24702380952380953,0.2
Q0025,ref,0.053797468354430375,-0.10075011720581342,0.0
Q0026,ref,0.867595818815331,0.9291791589012237,0.9
Q0027,ref,0.10906298003072196,0.0851094470046083,0.0
Q0028,ref,0.20910384068278806,0.2156691104059525,0.2
Q0029,ref,-0.02918586789554531,-0.18577188940092165,0.2
Q0030,ref,0.8412698412698412,0.891705069124424,1.0
Q0031,ref,0.9109062980030721,0.957229262672811,1.0
Q0032,ref,0.8515104966717869,0.9040898617511521,1.0
Q0033,ref,0.9211469534050178,0.9575652841781875,1.0
Q0034,ref,0.14035087719298248,0.1101892662691211,0.1
Q0000,pred,0.9969278033794161,0.9997119815668204,1.0
Q0001,pred,0.9969278033794161,0.9997119815668204,1.0
Q0002,pred,0.6933797909407666,0.7512357183372499,1.0
Q0003,pred,0.8904249871991807,0.9412922427035331,1.0
Q0004,pred,0.9651567944250871,0.9910866218296734,1.0
Q0005,pred,0.1784119588429431,0.035628862714940826,0.0
Q0006,pred,0.2894583576004659,0.23987989889794234,0.0
Q0007,pred,0.9682539682539681,0.9853110599078342,1.0
Q0008,pred,0.1191358024691358,0.03389792231255645,0.3
Q0009,pred,0.09430379746835442,-0.026676043131739338,0.1
Q0010,pred,0.8648233486943164,0.918538786482335,1.0
Q0011,pred,0.7653890824622532,0.8240012964913702,1.0
Q0012,pred,0.8853046594982077,0.9382200460829494,1.0
Q0013,pred,0.22305764411027573,0.25408348457350277,0.0
Q0014,pred,0.04113924050632911,-0.10166432255039849,0.1
Q0015,pred,0.9349593495934959,0.9721254355400698,1.0
Q0016,pred,0.7584204413472706,0.8181670853253383,1.0
Q0017,pred,0.2602436323366556,0.3097251585623678,0.3
Q0018,pred,0.8832565284178187,0.9393721198156684,1.0
Q0019,pred,0.8545826932923706,0.9074980798771123,1.0
Q0020,pred,0.012658227848101264,-0.15466479137365213,0.1
Q0021,pred,-0.018354430379746833,-0.24270979840600096,0.1
Q0022,pred,0.7537746806039488,0.8105501985252412,1.0
Q0023,pred,0.8627752176139272,0.9163786482334868,1.0
Q0024,pred,0.2258064516129032,0.25417626728110604,0.3
Q0025,pred,0.06329113924050632,-0.06005625879043601,0.0
Q0026,pred,0.8977932636469221,0.9530021878291874,1.0
Q0027,pred,-0.0015360983102918585,-0.11227918586789556,0.1
Q0028,pred,0.1721194879089616,0.19356603567129885,0.2
Q0029,pred,-0.03225806451612903,-0.1867799539170507,0.2
Q0030,pred,0.853558627752176,0.90610599078341,1.0
Q0031,pred,0.9190988223246287,0.9640937019969279,1.0
Q0032,pred,0.8648233486943164,0.9184907834101383,1.0
Q0033,pred,0.932411674347158,0.9688460061443932,1.0
Q0034,pred,0.09774436090225565,0.05840031112263417,0.1
