track,masking_regime,method,P@10,R@10,mAP,nDCG@10,ServedRate,n_queries,n_served
pred,random,WL+Obs [pred],"0.392 [0.354, 0.430]","0.264 [0.234, 0.298]","0.409 [0.374, 0.445]","0.438 [0.403, 0.474]",1.0,35,140
pred,random,Zero imputation [pred],"0.346 [0.296, 0.393]","0.099 [0.084, 0.114]","0.387 [0.352, 0.421]","0.378 [0.326, 0.428]",1.0,35,140
pred,uniform,Gower [pred],"0.391 [0.270, 0.506]","0.114 [0.078, 0.152]","0.401 [0.329, 0.462]","0.420 [0.303, 0.533]",1.0,35,35
pred,uniform,Masked cosine [pred],"0.326 [0.229, 0.433]","0.090 [0.064, 0.122]","0.370 [0.294, 0.433]","0.351 [0.254, 0.448]",1.0,35,35
pred,uniform,Mean imputation [pred],"0.391 [0.277, 0.509]","0.109 [0.078, 0.142]","0.416 [0.336, 0.485]","0.420 [0.303, 0.530]",1.0,35,35
pred,uniform,Missingness indicators [pred],"0.403 [0.298, 0.483]","0.110 [0.085, 0.133]","0.414 [0.336, 0.470]","0.434 [0.329, 0.518]",1.0,35,35
pred,uniform,OAKG-lexicographic [pred],"0.420 [0.323, 0.500]","0.160 [0.120, 0.209]","0.400 [0.344, 0.450]","0.462 [0.362, 0.546]",1.0,35,35
pred,uniform,OAKG-product [pred],"0.420 [0.323, 0.500]","0.160 [0.120, 0.209]","0.400 [0.345, 0.450]","0.462 [0.362, 0.546]",1.0,35,35
pred,uniform,OAKG-similarity [pred],"0.389 [0.267, 0.500]","0.130 [0.089, 0.173]","0.412 [0.333, 0.477]","0.419 [0.302, 0.530]",1.0,35,35
pred,uniform,OAKG-threshold [pred],"0.420 [0.323, 0.500]","0.380 [0.287, 0.473]","0.496 [0.412, 0.564]","0.489 [0.383, 0.581]",1.0,35,35
pred,uniform,WL [pred],"0.471 [0.397, 0.546]","0.167 [0.129, 0.217]","0.416 [0.369, 0.473]","0.509 [0.435, 0.588]",1.0,35,35
pred,uniform,WL+Obs [pred],"0.471 [0.397, 0.546]","0.187 [0.150, 0.232]","0.427 [0.379, 0.484]","0.509 [0.435, 0.588]",1.0,35,35
pred,uniform,Zero imputation [pred],"0.391 [0.277, 0.509]","0.109 [0.078, 0.142]","0.416 [0.336, 0.485]","0.420 [0.303, 0.530]",1.0,35,35
ref,asymmetric,Gower [ref],"0.379 [0.297, 0.459]","0.110 [0.085, 0.135]","0.391 [0.335, 0.443]","0.411 [0.330, 0.491]",1.0,35,70
ref,asymmetric,Masked cosine [ref],"0.313 [0.239, 0.379]","0.085 [0.066, 0.104]","0.356 [0.307, 0.403]","0.346 [0.270, 0.418]",1.0,35,70
ref,asymmetric,Mean imputation [ref],"0.404 [0.316, 0.483]","0.117 [0.092, 0.144]","0.410 [0.353, 0.461]","0.437 [0.354, 0.513]",1.0,35,70
ref,asymmetric,Missingness indicators [ref],"0.413 [0.331, 0.481]","0.116 [0.095, 0.136]","0.410 [0.358, 0.458]","0.439 [0.354, 0.507]",1.0,35,70
ref,asymmetric,OAKG-lexicographic [ref],"0.335 [0.274, 0.403]","0.209 [0.165, 0.252]","0.397 [0.355, 0.445]","0.407 [0.337, 0.482]",0.8142857142857143,35,57
ref,asymmetric,OAKG-product [ref],"0.335 [0.274, 0.403]","0.209 [0.165, 0.252]","0.398 [0.354, 0.445]","0.407 [0.337, 0.482]",0.8142857142857143,35,57
ref,asymmetric,OAKG-similarity [ref],"0.353 [0.278, 0.439]","0.219 [0.167, 0.280]","0.445 [0.385, 0.510]","0.415 [0.334, 0.506]",0.8142857142857143,35,57
ref,asymmetric,OAKG-threshold [ref],"0.335 [0.274, 0.403]","0.566 [0.470, 0.656]","0.516 [0.448, 0.587]","0.552 [0.469, 0.638]",0.8142857142857143,35,57
ref,asymmetric,WL [ref],"0.371 [0.310, 0.436]","0.115 [0.096, 0.136]","0.394 [0.356, 0.436]","0.423 [0.358, 0.493]",1.0,35,70
ref,asymmetric,WL+Obs [ref],"0.367 [0.308, 0.433]","0.238 [0.191, 0.287]","0.428 [0.384, 0.479]","0.446 [0.379, 0.514]",0.8142857142857143,35,57
