backbone,track,base_method,obs_method,base_nDCG@10,obs_nDCG@10,Delta_obs_nDCG@10,n_queries
Phenotype,pred,Zero imputation,OAKG-product,0.39827126945829894,0.39672572562778746,-0.001545543830511503,91
WL graph,pred,WL,WL+Obs,0.4586491364362032,0.47272253359888416,0.014073397162680966,111
Phenotype,ref,Zero imputation,OAKG-product,0.4254143739721483,0.38060994858581015,-0.04480442538633812,111
WL graph,ref,WL,WL+Obs,0.46290193080382064,0.47437119153158563,0.011469260727765067,111
