track,gamma_min,coverage,nDCG@10_served,risk,AURC
ref,0.0,1.0,0.3068794616670314,0.6931205383329686,0.0
ref,0.05,1.0,0.3068794616670314,0.6931205383329686,0.0
ref,0.1,1.0,0.3068794616670314,0.6931205383329686,0.0
ref,0.15000000000000002,1.0,0.3068794616670314,0.6931205383329686,0.0
ref,0.2,1.0,0.3068794616670314,0.6931205383329686,0.0
ref,0.25,1.0,0.3068794616670314,0.6931205383329686,0.0
ref,0.30000000000000004,1.0,0.3068794616670314,0.6931205383329686,0.0
ref,0.35000000000000003,1.0,0.32802969199771453,0.6719703080022854,0.0
ref,0.4,1.0,0.32802969199771453,0.6719703080022854,0.0
ref,0.45,1.0,0.32802969199771453,0.6719703080022854,0.0
ref,0.5,1.0,0.32802969199771453,0.6719703080022854,0.0
ref,0.55,1.0,0.4821780032020663,0.5178219967979337,0.0
ref,0.6000000000000001,1.0,0.4821780032020663,0.5178219967979337,0.0
ref,0.65,1.0,0.4821780032020663,0.5178219967979337,0.0
ref,0.7000000000000001,1.0,0.4821780032020663,0.5178219967979337,0.0
ref,0.75,1.0,0.4821780032020663,0.5178219967979337,0.0
ref,0.8,1.0,0.4821780032020663,0.5178219967979337,0.0
ref,0.8500000000000001,1.0,0.4821780032020663,0.5178219967979337,0.0
ref,0.9,1.0,0.4821780032020663,0.5178219967979337,0.0
ref,0.9500000000000001,1.0,0.4821780032020663,0.5178219967979337,0.0
ref,1.0,1.0,0.4821780032020663,0.5178219967979337,0.0
