Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU,PctData
1,0.09542959873323087,0.09817377058789134,0.9106331070264181,0.9072057927648226,0.8371236699598806,0.8304968749483427,14.800000000000002
2,0.09243095141870004,0.09267227289577325,0.9160096932340551,0.9112595096230507,0.8459854280507123,0.837709883848826,14.800000000000002
3,0.08154684443164754,0.09102228718499343,0.9249939499077974,0.9132596229513487,0.8607560109209131,0.840885266661644,14.800000000000002
4,0.08044257525492597,0.08751740399748087,0.9231172932518853,0.9130510340134302,0.8582611172287552,0.8407202536861101,14.800000000000002
5,0.08787677478459147,0.08320621245851119,0.9163931343290541,0.9208131109674772,0.8467177395467405,0.8535253554582596,14.800000000000002
6,0.07632462128444954,0.08734914194792509,0.9280451337496439,0.9144750982522964,0.866209277400264,0.8429208348194758,14.800000000000002
7,0.07736079698359524,0.09465600581218798,0.928513593143887,0.910275566081206,0.86713914959519,0.8356633757551511,14.800000000000002
8,0.07621843740344048,0.08444523919994633,0.9310097341184262,0.9224557826916376,0.8714066214031644,0.8563877567648888,14.800000000000002
9,0.0862349056535297,0.08861993160098791,0.9200321458004139,0.9140627831220627,0.8528876150095904,0.842379425962766,14.800000000000002
10,0.08193122085045886,0.09295600249121587,0.9265556931495667,0.913625548283259,0.8637871035823116,0.8414917091528574,14.800000000000002
11,0.08057246224156447,0.08444847088928024,0.9243853124124664,0.9204272280136744,0.8601846694946289,0.8530429775516192,30.3
12,0.07742578183699932,0.08613482723012567,0.9292487395661218,0.9179039324323336,0.8687426745891571,0.8491349617640177,30.3
13,0.07753214619255491,0.0931386308123668,0.9300883891327041,0.9108284388979276,0.8701715767383575,0.8370180080334345,30.3
14,0.07393518150118845,0.0862662346723179,0.9331846929022244,0.9211496462424597,0.8754759899207524,0.8544336358706156,30.3
15,0.07544339394995145,0.08383427156756322,0.9287627573524203,0.9181475390990576,0.8680030022348676,0.8492768406867981,30.3
16,0.07398144110433154,0.0874939529846112,0.9332707524299622,0.9177258809407552,0.8754210278794572,0.8487807462612788,40.44
17,0.07088129388520846,0.08428148707995813,0.9355786321936427,0.9194881518681844,0.8796818989354211,0.8512734820445379,40.44
18,0.0707192577018931,0.09069598792120814,0.9366223111345962,0.9126529023051262,0.8815030818049973,0.8401771709322929,40.44
19,0.07151802337250195,0.0822898984576265,0.9337896599962905,0.9211234028140703,0.8766355780330864,0.8545984625816345,40.44
20,0.06878336956976233,0.08437357501437266,0.9352540365747504,0.9162200937668482,0.8788533025496715,0.8458522781729698,40.44
21,0.06878628390463623,0.08707662113010883,0.9378823847384066,0.9159704198439916,0.8835717600745123,0.8454940393567085,40.44
22,0.06759028267618772,0.07843376106272142,0.939336638998341,0.9252433901031812,0.8861846488875311,0.8613948921362559,40.44
