Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU,PctData
1,0.3516233304032573,0.29164425035317737,0.6687590822025582,0.6928913022081057,0.5123079816500345,0.5385347834477822,14.800000000000002
2,0.2680962433417638,0.29607573710381985,0.7462094713140417,0.6976976729929447,0.6034688320424821,0.5474585170547167,14.800000000000002
3,0.2432258195347256,0.2884415586789449,0.7558650838004218,0.6898828881482283,0.6128743897985529,0.5430771820247173,14.800000000000002
4,0.27652758249530085,0.2883864181737105,0.7486974199612936,0.7259910280505816,0.6043473283449808,0.5807113709549109,14.800000000000002
5,0.25228888127538895,0.293066194280982,0.7678250670433044,0.6987878282864889,0.6285646314974185,0.5465559375782808,14.800000000000002
6,0.24123516733999606,0.2841935840745767,0.7817175697397303,0.727268415192763,0.6469285090764364,0.5807098088165125,14.800000000000002
7,0.2263336126451139,0.2920365935812394,0.8034847400806568,0.685998854537805,0.6767810097447148,0.5294639443357786,14.800000000000002
8,0.24346386944806134,0.27385110904773075,0.7721507814195421,0.735889640947183,0.6384798233155851,0.5877581809957823,14.800000000000002
9,0.2572718913908358,0.27670521413286525,0.749687996175554,0.7353585412104925,0.6055114997757806,0.5873716423908869,14.800000000000002
10,0.22669910970661375,0.2757628137866656,0.7974505733560633,0.7084319417675337,0.6693718245735875,0.5579130115608374,14.800000000000002
11,0.21356857981946734,0.2650761396313707,0.8031986510312116,0.7254095984001955,0.6774423486656613,0.5874699354171753,14.800000000000002
12,0.21388617157936096,0.24665828794240952,0.7934567641328882,0.7359423066178957,0.6657863159974416,0.5884091816842556,14.800000000000002
13,0.21229442181410613,0.2618785798549652,0.80642126666175,0.7284205829103788,0.6818534003363715,0.5819728411734104,14.800000000000002
14,0.2146886079399674,0.2751062673827012,0.7986998028225369,0.7421677249173323,0.6704306492099056,0.603205439945062,14.800000000000002
15,0.23726294934749603,0.27042318135499954,0.7851102043081213,0.7192999968926111,0.6504684189955393,0.5692005455493927,14.800000000000002
16,0.20167756191006414,0.26160574704408646,0.815412680308024,0.7361695691943169,0.6920361894148367,0.5932688203950723,14.800000000000002
17,0.20542272014750373,0.2576005607843399,0.8239683707555135,0.7556809559464455,0.706245086811207,0.6117930933833122,14.800000000000002
18,0.2195252174777644,0.2624550350010395,0.8080573209694454,0.7632249792416891,0.6843555660120079,0.627247137327989,30.3
19,0.2063155932618039,0.24200469317535558,0.8212217571479934,0.7790282766024271,0.7008681414382798,0.6474755344291528,30.3
20,0.20757422636130027,0.2570946930597226,0.8253523537090847,0.7413196985920271,0.707860141992569,0.6004477447519699,30.3
21,0.2163507066933172,0.2477748692035675,0.8038646578788757,0.7625425755977631,0.678838464830603,0.6221940629184246,30.3
22,0.19012604174869402,0.2393311553945144,0.8327327200344631,0.7726065516471863,0.7191056055682046,0.6371982370813688,30.3
23,0.21704175070460355,0.25758896581828594,0.8135649700249944,0.7332686670124531,0.6920558549463749,0.5966787145783504,30.3
24,0.19099593894290073,0.23326285618046919,0.8389312028884888,0.7757371266682943,0.7260989823511669,0.6418098472058773,30.3
25,0.18245802367372171,0.241092869391044,0.8414538843291146,0.7557943711678187,0.7312011415404933,0.6156874659160773,30.3
26,0.19289979431778193,0.26972685754299164,0.8223381553377423,0.732900969684124,0.7021669420812812,0.5939520932734013,30.3
27,0.20483691950461694,0.23333442211151123,0.8298175973551614,0.7633114581306776,0.7130086879645076,0.6269365834693114,30.3
28,0.1990153788189803,0.2617327192177375,0.8221522995403835,0.726199792077144,0.7053053017173495,0.5841772283116976,30.3
29,0.1963170687002795,0.22323732326428095,0.8325087257793972,0.7869831199447314,0.7163718715310097,0.6563257326682409,30.3
