Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU,PctData,k
1,0.8490272760391235,0.5839209465718851,0.17523975670337677,0.45120264244515723,0.09603440016508102,0.29652786509292883,10.0,1.0
2,0.8558574914932251,0.5912044578936042,0.17917875945568085,0.4454685545912603,0.09840546548366547,0.2929308098263857,10.0,1.0
3,0.618812620639801,0.5923934117323015,0.42900919914245605,0.443677210771456,0.2730819284915924,0.28985470942244296,10.0,1.0
4,0.8085106015205383,0.48593258312562615,0.22143936157226562,0.5392136457489758,0.12450481206178665,0.37363391096999005,10.0,1.0
5,0.6195152401924133,0.4497409095851386,0.438026487827301,0.5751294439158788,0.2804314196109772,0.4094773440099344,10.0,1.0
6,0.5888552665710449,0.46310666930384753,0.4825737178325653,0.5471407040590193,0.3180212080478668,0.382068375080097,10.0,1.0
7,0.4505244195461273,0.4671366832605222,0.6070175170898438,0.5342032200679546,0.4357682764530182,0.37274762470184303,10.0,1.0
8,0.5866193175315857,0.47047316010405377,0.4516128897666931,0.5139936693921322,0.2916666567325592,0.3534780384563818,10.0,1.0
9,0.46685247619946796,0.4389776990907948,0.5421058336893717,0.53197806564773,0.38890016575654346,0.3699883476990025,22.106527488588164,0.5
10,0.35283490022023517,0.4652920619743626,0.7060495217641195,0.47643983618515295,0.5468805134296417,0.31795442485954706,22.106527488588164,0.5
11,0.33961333831151325,0.4489387804415168,0.5929348866144816,0.5104402267351383,0.4444080889225006,0.35054779634243105,22.106527488588164,0.5
12,0.3446395496527354,0.40301410090632556,0.6084018647670746,0.5587865190535057,0.4671095709005992,0.3963841043594407,22.106527488588164,0.5
13,0.22385960320631662,0.39080233235911627,0.8177417516708374,0.558424529505939,0.6920643250147501,0.39682889039196617,22.106527488588164,0.5
14,0.26504426697889966,0.3481379961822091,0.657258614897728,0.6091175424616512,0.5536471803983053,0.44808608457082655,22.106527488588164,0.5
15,0.2451007217168808,0.3478191275058723,0.8311728239059448,0.6041190515204173,0.7171610991160074,0.443705839173096,22.106527488588164,0.5
16,0.2876680940389633,0.33659935215624365,0.6198539137840271,0.6170647705836994,0.469606414437294,0.4545793462453819,22.106527488588164,0.5
17,0.3068315585454305,0.34297618542502567,0.6827191412448883,0.6090501263374235,0.5477795501550039,0.44688842427439807,22.106527488588164,0.5
18,0.22122291723887125,0.33182433447459847,0.7695258458455404,0.6249812368939562,0.6300569772720337,0.4659660656641169,22.106527488588164,0.5
19,0.14391669631004333,0.32620387288128455,0.8760589957237244,0.618349733512576,0.7796330054601034,0.45720813695977375,22.106527488588164,0.5
20,0.2869883229335149,0.3347160136554299,0.6505497197310129,0.5923808162532201,0.5310753087202708,0.42957517304798454,22.106527488588164,0.5
21,0.16945301989714304,0.32107495552882914,0.6802152395248413,0.6119740340040951,0.5685108055671056,0.450793160716208,22.106527488588164,0.5
