Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU,PctData,k
1,0.9971832633018494,0.9280169758854843,0.00552357779815793,0.10786206406972758,0.002769437385722995,0.0572383459203127,10.0,1.0
2,0.9861904978752136,0.7905857613900813,0.027123304083943367,0.2587550045331804,0.013748099096119404,0.15054493638255248,10.0,1.0
3,0.9501156210899353,0.7956997119798893,0.0717863067984581,0.2520155230673348,0.03722943738102913,0.1454546656005266,10.0,1.0
4,0.928020179271698,0.7845963552230741,0.09623059630393982,0.26900208268950626,0.05054740235209465,0.15738525323388053,10.0,1.0
5,0.954340934753418,0.7866372458818482,0.07383755594491959,0.26321907286963814,0.03833402320742607,0.15273714892384482,10.0,1.0
6,0.936601459980011,0.6519714281326388,0.07956600189208984,0.3621547260298962,0.04143126308917999,0.22475601142136062,10.0,1.0
7,0.7359439730644226,0.6054152621001732,0.27015557885169983,0.35556230830346663,0.15617334842681885,0.22106091232924927,10.0,1.0
8,0.611152708530426,0.6612030987332507,0.42748090624809265,0.29126341913531467,0.27184465527534485,0.17323130841662243,10.0,1.0
9,0.5363770723342896,0.6632938116061978,0.4425887167453766,0.29343142115124843,0.2841823101043701,0.1744105448355762,10.0,1.0
10,0.32034918665885925,0.7246163487434387,0.7096773982048035,0.23118773802388004,0.550000011920929,0.13232013219740332,10.0,1.0
11,0.5820238391558329,0.7703887965621018,0.3248186906178792,0.19655799783947991,0.19438079992930093,0.1105985342547661,22.106527488588164,0.5
12,0.5278782645861307,0.7452075648598555,0.39149028062820435,0.219648736006603,0.24795760214328766,0.1251143313853479,22.106527488588164,0.5
13,0.41896190245946247,0.693155545287016,0.5748329361279806,0.2656597939388054,0.4065967798233032,0.155017394890509,22.106527488588164,0.5
14,0.5118510238826275,0.5125731774946538,0.46314895153045654,0.43102185537175436,0.3074847385287285,0.28288717286252396,29.03929212137331,0.25
15,0.44428131729364395,0.4853195824274203,0.5502442941069603,0.4642710829289948,0.3844771273434162,0.3113704508215916,29.03929212137331,0.25
16,0.4415048584342003,0.4911480135307079,0.5515666920691729,0.45339778292833305,0.4007330387830734,0.2999903052227526,29.03929212137331,0.25
17,0.47398439422249794,0.49942538396614355,0.5017264075577259,0.4385746668388204,0.35013783164322376,0.28791660806391295,29.03929212137331,0.25
18,0.4895002022385597,0.4739691924031188,0.5154101252555847,0.47585135825523517,0.3601960316300392,0.3206687495112419,29.03929212137331,0.25
19,0.43172088265419006,0.4754601749705105,0.583189319819212,0.469054008220754,0.42129406705498695,0.3126476219877964,29.03929212137331,0.25
20,0.4265230931341648,0.47514337555664343,0.5156065672636032,0.468095567531702,0.3562186099588871,0.3120032861465361,29.03929212137331,0.25
21,0.4282105825841427,0.45029552535312933,0.5528401955962181,0.5140793850509132,0.3934163600206375,0.352533938681207,29.03929212137331,0.25
22,0.4492701329290867,0.5068121639693656,0.5657914690673351,0.4430865003931813,0.40650089271366596,0.290068787772481,29.03929212137331,0.25
23,0.39508613757789135,0.4703723999058328,0.6097193099558353,0.4901990336252422,0.4556603189557791,0.33117667203996237,29.03929212137331,0.25
24,0.4079531095921993,0.4849721651251723,0.5818468257784843,0.4777467834149919,0.43071896582841873,0.3210716081283441,29.03929212137331,0.25
25,0.42409453630447386,0.47462243150647093,0.5522520035505295,0.47853211113592475,0.39123684883117676,0.3231848961696392,31.387898169624528,0.125
26,0.4197900652885437,0.4233088626003847,0.5301266324520111,0.5527458318123003,0.3741509023308754,0.38945095986127853,31.387898169624528,0.125
27,0.40442875742912293,0.4237998196991479,0.5622218632698059,0.5691451397610874,0.40196787416934965,0.4036791708047797,31.387898169624528,0.125
28,0.38671609878540036,0.4144492465548399,0.5910687959194183,0.5642424741896187,0.4320586591959,0.3999919769604032,31.387898169624528,0.125
29,0.4066178011894226,0.42320108050253336,0.5629655659198761,0.5584354088073824,0.4022594845294952,0.39339829145408256,31.387898169624528,0.125
30,0.36946294486522674,0.4267753100976711,0.6117869532108307,0.569154572559566,0.4507106864452362,0.4049533487456601,31.387898169624528,0.125
