Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU,PctData
1,0.09157184470030996,0.09298445889726281,0.9175268190878408,0.9168363958597183,0.8484721625292743,0.8466124758124352,14.800000000000002
2,0.08380188489401783,0.09302083061387141,0.9208948303152014,0.9131692796945572,0.8540497929961594,0.8409419655799866,14.800000000000002
3,0.07954616748072484,0.08248049300163984,0.9257527633949563,0.9200207367539406,0.8620804062596074,0.8523452679316202,14.800000000000002
4,0.07707395211414055,0.08088561659678817,0.92679187324312,0.9185036395986875,0.864333101996669,0.8502237349748611,14.800000000000002
5,0.0850101870795091,0.08048219000920653,0.9208878918930337,0.925045390923818,0.8542852313430221,0.8607736527919769,14.800000000000002
6,0.07731653060074206,0.0845871268150707,0.9285630738293683,0.9201463013887405,0.8671804313306455,0.852812759578228,14.800000000000002
7,0.07999912470027253,0.08887994972368081,0.9277270171377394,0.9125315124789873,0.8658422584886905,0.8397318174441656,14.800000000000002
8,0.07582179443151862,0.08143918309360743,0.9310240149497986,0.9258620316783587,0.871349122789171,0.8623859584331512,14.800000000000002
9,0.0842922685874833,0.08769185499598582,0.9206886313579701,0.9128279959162077,0.8540101514922248,0.8403959050774574,14.800000000000002
10,0.08327385810790239,0.08576069492846727,0.9232072719821224,0.9186279127995173,0.8580247031317817,0.8497803683082262,14.800000000000002
11,0.08123978027807814,0.07891710164646308,0.9255403461200851,0.9252856050928434,0.8621487862297467,0.8615459005037943,30.3
12,0.07544506560744983,0.07496956332276265,0.932035359953131,0.926967608431975,0.8735718546169144,0.8643606627980868,30.3
13,0.07549749434526477,0.09018189723913868,0.9306387305259705,0.9145360390345255,0.8711243431482997,0.8432544792691866,30.3
14,0.0757866727986506,0.07894384178022544,0.9308687342064721,0.9282262474298477,0.8715638071298599,0.8665406877795855,30.3
15,0.07630045991390944,0.07685055832068126,0.9295428075960704,0.9246006285150846,0.86915522813797,0.8602066487073898,30.3
16,0.07377772944580231,0.085116321220994,0.9354226599846568,0.9187838236490885,0.8790742723005158,0.8505033155282339,30.3
17,0.06987102476081677,0.08196166949346662,0.9358041744147029,0.9198581626017889,0.8797426585640226,0.8522590746482214,30.3
18,0.07373665273189545,0.07781805470585823,0.9334778544065114,0.9270995457967123,0.8758311126683209,0.8647369792064031,40.44
19,0.07113998000686234,0.07976204296573997,0.9333811966148583,0.9246524473031362,0.8759086558947692,0.860633005698522,40.44
20,0.07436586664737882,0.08345313587536414,0.9321748968717214,0.9224391952157021,0.8735414074884879,0.8565613230069479,40.44
21,0.07181484604606757,0.07814363840346535,0.93685797823442,0.9234267845749855,0.8816487152834196,0.8584758987029394,40.44
22,0.07074741238879191,0.08791642279053728,0.9358547297683922,0.9201877216498057,0.8800492069205722,0.8527026797334353,40.44
23,0.07118189472998127,0.08279965197046597,0.9350423873140571,0.9198368936777115,0.8785608457715324,0.852015974620978,48.46
24,0.07304373791629679,0.07620458134139578,0.9340351732929101,0.9277963836987814,0.8768793223948961,0.8658949906627337,48.46
25,0.06873235374354245,0.07301159653191765,0.9388579980710919,0.9288315251469612,0.885253266002355,0.8675541455547015,48.46
26,0.06922475210903736,0.08060053441052635,0.9374919386392229,0.9273783912261327,0.8829009619991431,0.8650359710057577,48.46
27,0.07310715945584051,0.07882964812840025,0.9355405937419848,0.925215907394886,0.879595313179359,0.861251100897789,48.46
