Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU
1,0.4238596618613776,0.29182532490516194,0.5533769952242865,0.7017441270302753,0.3922265973983004,0.5455485144440009
2,0.2582705934258068,0.229117572155534,0.74711244360489,0.7760062631295652,0.6016645599814022,0.63827531678336
3,0.21155791365925003,0.19251844712666102,0.8024057342725641,0.8256940245628357,0.6735190669403357,0.7071394032361557
4,0.1884649356498438,0.183822256417907,0.825966635872336,0.8379184202272065,0.7062501562868848,0.7242790387601269
5,0.17180728011709803,0.16699903245483125,0.8428795413059347,0.8503736707628989,0.7307315887773738,0.7428770466726653
6,0.16330654410754933,0.16048875496703752,0.8531696386197034,0.8596365865395994,0.7459859427283791,0.7565202396743151
7,0.15524072460830213,0.15376959467420773,0.8587588608264923,0.8661851724799798,0.7545058672918993,0.7661878150336596
8,0.14848232037004302,0.14987076058679696,0.8675425517208436,0.8681159433053465,0.7678669571876526,0.7691822185808298
9,0.14415290671236375,0.15498440667074553,0.8719350902473225,0.8640314729846253,0.7745776765486774,0.7628156761733853
10,0.1388272229801206,0.144477764410632,0.8768184377866632,0.8740933355020017,0.7821209765532438,0.7788485726531671
11,0.13512457175289883,0.13942430046748142,0.8807452962679021,0.8792527111209169,0.7882468500558067,0.786613941192627
12,0.12979900872006137,0.13836463449560865,0.8841708227115519,0.8797271385484812,0.7937979387886384,0.7874386456547952
13,0.12744443565607072,0.13899132366083106,0.8848721830283894,0.87870655376084,0.7949757796876571,0.7856991741122031
14,0.12336449827998877,0.13300594687461853,0.8907829654567382,0.8832400283034967,0.8042264387888067,0.79303363148047
15,0.12094974385245758,0.13210086965439272,0.8903728982981514,0.8835268373392067,0.803640722877839,0.7935796428699883
16,0.11897093380856164,0.13323804918600587,0.8923010638531517,0.8858134710058874,0.8067265806829228,0.7971235842120891
17,0.11871493458747864,0.12704096460828976,0.8950524114510592,0.8886920104221422,0.8113497472861234,0.8016108979984206
18,0.11525107953040038,0.12588548994794183,0.8970095429350348,0.8891442637054288,0.8143565623199238,0.8022646441751596
19,0.11548866741359234,0.12593174011123423,0.8964408376637627,0.8893049541784792,0.813503002594499,0.8028220874922616
20,0.11211948245763778,0.12367053421176209,0.9003413529957042,0.8911637882797085,0.8198529827244142,0.8054854833349889
21,0.11130846261101611,0.1228429945755978,0.902034654512125,0.8922466927645157,0.822660234745811,0.8073877740879448
22,0.1115892748841468,0.12401207384406304,0.900067864446079,0.8913676349484191,0.8195008840631036,0.8057996837460265
23,0.10633044002906364,0.123832817892639,0.9048051441417021,0.8934009719868096,0.8271151984439177,0.8094906636646816
24,0.10583937106763615,0.12508549860545568,0.9052851457806195,0.8931221998467738,0.8280199662727468,0.8090419720630256
25,0.10876732032526942,0.11808374212408553,0.9037120931288776,0.895990785287351,0.825522120384609,0.8137785865336048
26,0.10496972329257166,0.12246431182233655,0.9055128586642882,0.8930978178977966,0.8285175956347409,0.8088004090348069
27,0.10515914816847619,0.11873272228605893,0.9054974747054717,0.8977000457899911,0.828361354154699,0.8164824150046524
28,0.1015998065142947,0.11900175530083325,0.9086885198074228,0.8959486350721243,0.8336977697470609,0.8136343639724108
29,0.10230986977763036,0.1302003427123537,0.9077274127918131,0.8898514387558918,0.8320420754306457,0.8044694297167719
30,0.10098899212830206,0.11805222381134423,0.9102669424870435,0.897442163253317,0.8363234158824472,0.816106454450257
31,0.09920365777524079,0.11817752904429728,0.9116773107472588,0.8981613151881159,0.8384757501237533,0.8174163966762776
32,0.09988883410525673,0.11531541808223238,0.9114740820492016,0.8996141370461912,0.8383292396278942,0.8194747749640017
33,0.09979573991149664,0.11460645542461045,0.910289163624539,0.9009013370591767,0.8363861262798309,0.8213861219736994
34,0.09906921134713818,0.11618859206839484,0.9113851121243308,0.8997894707991152,0.8381505796137978,0.8199002438662003
35,0.09441756734295803,0.11866162390429147,0.9166498043957878,0.8959866944624453,0.8468879045809017,0.8139199298255297
36,0.09813244133530294,0.1167233124071238,0.9127957773559233,0.8993414603933996,0.8404530712786843,0.8192136007912305
37,0.09589361385168398,0.11454405012179394,0.9151363774257548,0.9021980944944887,0.8444367287790074,0.8238207101821899
38,0.09445183660615893,0.11375075457047443,0.9149980751907124,0.900746116832811,0.8442146462552688,0.8217281674852177
39,0.09403294472790816,0.1107771131305062,0.9163464071119533,0.903823729680509,0.8464620549889171,0.8265524676867894
40,0.09115358070634744,0.11201987734862737,0.9188889258048114,0.9034882114858044,0.8506940231603735,0.8260723109147987
41,0.09002110087038839,0.11009747436156078,0.9188706327887143,0.9049524883834683,0.8506860240417369,0.8282984835760934
42,0.09241604065412984,0.1121020648552447,0.9173408716917038,0.9044369994377603,0.8480832792380277,0.8274475311746403
43,0.09018508729470127,0.11039940708754015,0.9191479193813661,0.9048546199895897,0.8511537818347706,0.8280697197330241
44,0.09072947745375773,0.11233792438799022,0.919127917990965,0.9039619881279615,0.8511765769299339,0.8271024981323554
45,0.09150683067958144,0.10946688299276391,0.9183239533620722,0.9055805632046291,0.8498780874645009,0.8297440628616177
46,0.09003920498139718,0.1125446718414219,0.9192512380726198,0.9020514767997119,0.8513159031377119,0.8240358951140423
47,0.08969936546157388,0.11040979920297253,0.9196357262485167,0.9060001762545838,0.8520565264365252,0.8301738756043571
48,0.08601568123216138,0.11248141101428441,0.9223782071295906,0.90247366014792,0.8566632891402525,0.8243942589175944
49,0.08832626350443153,0.11038829910815978,0.920353559886708,0.9048687499396655,0.8532840884783689,0.8284485996985922
50,0.08700626274461255,0.10748583047973867,0.922618475205758,0.9059082804893961,0.8571162288679796,0.8305251829478205
51,0.08547549570965417,0.10988222731619465,0.9226703692885007,0.9067789413491074,0.8571930650402518,0.8312798665494335
52,0.086570843144813,0.1084441707602569,0.9212878974045025,0.9064180169786725,0.8548820187063778,0.8306318667470193
53,0.08450446409337661,0.1112179404922894,0.9242968259488835,0.9026593772732482,0.8599225905011681,0.8249602804378587
54,0.08442873320377925,0.108480767327912,0.9236281896338744,0.9063563955073454,0.8587749219992582,0.8310702564764996
55,0.08431459838414894,0.10472293585842969,0.9222768266411389,0.9090790371505582,0.8564495887826471,0.8351683130069655
56,0.08371253665536642,0.10798539266902574,0.9240835615817238,0.9069929816284958,0.8595605131457834,0.832164598970997
57,0.08366609904915094,0.10663137227600934,0.9246436506509781,0.9090337072099958,0.8605771732680938,0.8354060759349745
58,0.084720221632982,0.10507767731133773,0.9245426337508594,0.9089858714415102,0.860310078719083,0.8350563961632398
59,0.08278315871515694,0.1073557872097103,0.9259325220304377,0.9064290426215347,0.8627991146901075,0.8312914614774742
60,0.08238928962279768,0.10455491804346746,0.9260775429361007,0.9093314591719179,0.8629810673349044,0.8358613301296623
61,0.0815386857070467,0.1054338279123209,0.9249832177863402,0.9085594427828886,0.8611573001917671,0.8349178652374112
62,0.08160990558783798,0.10623464718156932,0.9260995267068639,0.9086751974358851,0.8630240827798843,0.8345065372330802
63,0.07979590787607081,0.10776636437798033,0.9271556547459434,0.9079424227987017,0.8649329444941353,0.8336632738308031
64,0.07944791021154207,0.10475788227453524,0.9275329758139218,0.910119177127371,0.8655739184688119,0.8371092823086953
65,0.0795010647681706,0.10736692848862434,0.9274050879127839,0.9084951439682318,0.8653819736312417,0.8347973373471475
66,0.07904938321341487,0.10292878762191655,0.9279474065584294,0.9118347751850985,0.8661777058068444,0.839807757309505
67,0.07941221406354623,0.1022686990244048,0.9281679844155031,0.911512096317447,0.8666227402055965,0.8395624367558226
68,0.07865744783159564,0.10256933284049131,0.9286530717330821,0.9117807040409166,0.8674624274758732,0.8398272796553008
69,0.07818771827527705,0.10323486621586644,0.9278460059095831,0.9112738139775335,0.8659679532051087,0.8389837255283278
70,0.07785069800036795,0.10451416633262926,0.928607261706801,0.9100809766321766,0.8673906699699514,0.8368624400119392
71,0.07762399839566034,0.1021506141643135,0.9309082851690405,0.9119303968487954,0.8713743870749193,0.8401646091013538
72,0.07812057953766163,0.10198605995701283,0.9288655274054584,0.9108791120198308,0.867779682839618,0.8385783920482713
73,0.07583051627392277,0.10157298205458389,0.9309448624358457,0.9123177175619164,0.8715215367429396,0.8406029720695651
74,0.07503883168101311,0.10448517201810467,0.9314812221947838,0.90925253775655,0.8722963043872047,0.8360956663988075
75,0.0768851082881584,0.10119605642192218,0.9302848023526809,0.9128851416159649,0.870291151544627,0.8415722080639431
76,0.07506531640229856,0.1028026787906277,0.9309658499325023,0.9115592289944084,0.871504881101496,0.839338696732813
77,0.07558566261740292,0.10121153371066463,0.9304134072626338,0.913126463792762,0.8704678432029836,0.8420110746305816
78,0.07625447202693014,0.10063560611131239,0.930807973356808,0.9128821273239291,0.8711615555426654,0.84163811742043
79,0.07443826039705206,0.10007198778342227,0.9307371320093379,0.9140493918438347,0.8711017007336898,0.8437049109108594
80,0.07497170966337709,0.10003467801274085,0.9317130951320424,0.9139553600428055,0.8727185415871003,0.8434017653367958
81,0.07346019749255742,0.10099620767393891,0.9320374995470047,0.9133796874357729,0.8733369003323947,0.8425434292579184
82,0.07325562781051678,0.10257424870315864,0.9336944939459071,0.9108051183272381,0.8762488272260217,0.8385942894585279
83,0.07256192341446877,0.09981088150216609,0.9328958711203407,0.9130234170933159,0.8747554603744956,0.8420727557065536
84,0.07373943220385734,0.10018833452949719,0.9316071184242473,0.914346982021721,0.872635802451302,0.8441637693619242
85,0.07232847540255855,0.10019277781248093,0.9341591545764137,0.9138249998189965,0.8770297911237268,0.8432381858631056
86,0.07376700178446138,0.09813139344356497,0.9327112122493632,0.9152247151549981,0.8745788984438952,0.8455614788191659
87,0.072594410411137,0.09947371163538524,0.9328178097220028,0.9146882879490755,0.8746631245402728,0.8445177589144025
88,0.07200440726078608,0.1011155507698351,0.93378646356218,0.9139029322838297,0.8763928935808294,0.8433625406148483
89,0.07243475789094672,0.09957554236966737,0.9339789530810187,0.915384020124163,0.8766899072072085,0.8456269599953476
90,0.07167913409716943,0.09751685526298016,0.9345439360422246,0.9164864323577102,0.877741285983254,0.8476705161892638
91,0.07079304956337985,0.09820255576347818,0.9354217869393966,0.9155826203677119,0.8792350365835078,0.8461368181267563
92,0.07047730846440091,0.09752064373116104,0.9347692540463279,0.9164328380506865,0.8781051065991906,0.8474277245755099
93,0.06939421825330047,0.09782717118457872,0.935920189408695,0.9151712157288376,0.8801551431417465,0.8454198946758192
94,0.06984334907987538,0.09732309219484427,0.9354934792308246,0.917220704409541,0.879276917962467,0.8488735325482427
95,0.0690987929208752,0.09588266840698767,0.9366416804930743,0.9173440665614848,0.881393154053127,0.8491748133484198
96,0.06912897420937524,0.09814779057490583,0.9366451862980337,0.9160906526507163,0.8813409302164527,0.847287726645567
97,0.0687923656338278,0.09860652274623209,0.9370164718698053,0.9141335487365723,0.8820003367522183,0.8441087177821568
98,0.06783219716676017,0.10035938161368273,0.9366078920224133,0.9124692629794685,0.8813345270998337,0.8413853706145773
99,0.06744513102971456,0.09974543560220271,0.9371086458949481,0.9145478010177612,0.8822259296389187,0.8448762394944016
100,0.06870960978900685,0.09841854581419303,0.9363948764169917,0.9153111686511916,0.880915073612157,0.8456643126448806
101,0.06803632453083992,0.0966948614436753,0.9374081716817968,0.9171284315537434,0.8827098281944499,0.8487246218992739
102,0.06780128308078821,0.09651030448018288,0.9380229664199492,0.9174026481959284,0.8838133994270774,0.8491224634404085
103,0.06916459971929298,0.09742395579814911,0.9362262731089311,0.915929052294517,0.8806177218170727,0.8468078532997443
