Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU,PctData,k
1,0.7064314186573029,0.5865333986525633,0.2727885566651821,0.3439979580592136,0.16563055515289307,0.20975320755827184,16.61756040070713,1.0
2,0.5585901379585266,0.5677228180729613,0.3851000487804413,0.3960543983444876,0.24489471018314363,0.24959687554106422,16.61756040070713,1.0
3,0.5110630065202713,0.5324461916271521,0.4144448548555374,0.43796589179914824,0.2705299496650696,0.2854404245712319,16.61756040070713,1.0
4,0.46311145424842837,0.5155492978436607,0.513096758723259,0.4384124041820059,0.3520863875746727,0.28341830080869246,16.61756040070713,1.0
5,0.4191585689783096,0.5011767173299984,0.5118965089321137,0.45872883468258135,0.3478498801589012,0.30100126169165786,16.61756040070713,1.0
6,0.3897896736860275,0.4969655044224797,0.5812341898679734,0.45425158617447836,0.41976419687271116,0.2984129254307066,16.61756040070713,1.0
7,0.40184724032878877,0.48388938149627375,0.5685959190130234,0.4924039567003445,0.40760488212108614,0.32970100397966345,16.61756040070713,1.0
8,0.32158324867486954,0.4774013982743633,0.6405019134283065,0.46530297824314665,0.4789086103439331,0.3070522771806133,16.61756040070713,1.0
9,0.35342150628566743,0.5101112963593736,0.6643215835094451,0.43640294062847995,0.4992493152618408,0.28529757443739445,16.61756040070713,1.0
10,0.29708641320466994,0.46111249011390065,0.6576532363891602,0.5077030786446163,0.4976631164550781,0.34513228462666884,16.61756040070713,1.0
11,0.2727634057402611,0.46286463737487793,0.698113763332367,0.5088906537513344,0.5416615188121796,0.34568519464560915,16.61756040070713,1.0
12,0.28114128708839414,0.45568254681266085,0.7148143231868744,0.5090370968896516,0.5606826931238175,0.3475681452118621,16.61756040070713,1.0
13,0.27128489315509796,0.4574131454740252,0.720361739397049,0.504426641731846,0.5686973571777344,0.34116835527274075,16.61756040070713,1.0
14,0.26992187201976775,0.43538572380737384,0.7161485493183136,0.5343169040825902,0.5681987971067428,0.3713025143560098,16.61756040070713,1.0
15,0.2542519003152847,0.45683013784642124,0.7417665004730225,0.5180902426340142,0.5949728727340698,0.3553938807881608,16.61756040070713,1.0
16,0.2403949700295925,0.44874916240877033,0.7575600922107697,0.5223366794537525,0.6181245118379592,0.3581497529331519,16.61756040070713,1.0
17,0.2168698266148567,0.425651483389796,0.7972367644309998,0.5485608352690327,0.6703193753957748,0.3840985894203186,16.61756040070713,1.0
18,0.2067076161503792,0.4331557969657742,0.7879102528095245,0.523157786349861,0.6560038506984711,0.3636715804435769,16.61756040070713,1.0
19,0.22290098369121553,0.42708543946548383,0.7630625784397125,0.5462197953340958,0.6238510549068451,0.3826384152076682,16.61756040070713,1.0
