Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU,PctData
1,0.5590520594634262,0.48289961413461335,0.4167457310592427,0.47670143356128614,0.2703592644310465,0.31536833333725833,14.800000000000002
2,0.45455923325875225,0.45227871074968456,0.512440600231582,0.519788000656634,0.34957970094447044,0.3551415372259763,14.800000000000002
3,0.4348228854291579,0.40841053152570916,0.5451000776945376,0.5557440841684536,0.37878421650213356,0.3886209346201955,14.800000000000002
4,0.39161215167419583,0.35777938305115214,0.5870701057069442,0.6347339189782435,0.42229951392201814,0.4701753319526205,14.800000000000002
5,0.3158200315985025,0.3166091256603903,0.6902648356615328,0.6958529529522877,0.5326287956798778,0.5396266105223675,14.800000000000002
6,0.29526853649055257,0.31417869001018756,0.7127555924303391,0.7125801322411518,0.558720626667434,0.5575890766114605,14.800000000000002
7,0.3292198213292103,0.2861412340889172,0.6635840920840993,0.7220897175827805,0.5017765675689659,0.5701746898038047,14.800000000000002
8,0.2776423800809711,0.28844441138968174,0.7304719020338619,0.7075325135065584,0.5820522396003499,0.5530205654854677,14.800000000000002
9,0.259750873726957,0.2602498531341553,0.7475192009233961,0.766198418578323,0.6004270730065364,0.6266404262610844,14.800000000000002
10,0.2744818429152171,0.285816922175641,0.735494500281764,0.7492969255058133,0.588001493729797,0.6043386161327362,14.800000000000002
11,0.23110205636304967,0.2726198425706552,0.774498442808787,0.7654314260093533,0.6379378110754723,0.6269227941425479,14.800000000000002
12,0.24609417190738753,0.2547630126378974,0.7752410079918656,0.7688699583618008,0.6382144578531677,0.6286580672069472,14.800000000000002
13,0.24244076013565063,0.24659710118965228,0.7627143035916721,0.7699303706081546,0.6255324246252284,0.633239251010272,14.800000000000002
14,0.24653633494003147,0.23378837747233255,0.7642748601296369,0.7896049241630398,0.6231376160593594,0.6570386102004927,14.800000000000002
15,0.21392030400388382,0.2475323525010323,0.8062477333872926,0.7634158037146743,0.6781548168144974,0.6215673970932863,14.800000000000002
16,0.21099069276276758,0.2269668624717362,0.8077875247188643,0.7807222373631536,0.6796015430899227,0.6442545317873662,14.800000000000002
17,0.19955741278096742,0.20559768819687319,0.8036151738727794,0.8081273521695819,0.6744969773526285,0.6835125331975975,14.800000000000002
18,0.1988072405550994,0.2101828244571783,0.8145352239702263,0.8153707847303274,0.6895937954678255,0.6916932183869031,14.800000000000002
19,0.20839103734960743,0.22178506471064627,0.8078572457911921,0.8148224451103989,0.6828683813412985,0.6910224331884968,14.800000000000002
20,0.20511990975515515,0.204132330356812,0.8114137006740944,0.8268328442865488,0.6849504732618145,0.7085944055294504,14.800000000000002
21,0.20417695623986862,0.1891039774125936,0.8146721159710604,0.8300628783751507,0.6903603684668448,0.7127574584922012,14.800000000000002
22,0.20043935013168,0.23865696392497238,0.8150379868114696,0.7597495013353776,0.6923445918980766,0.6180457168695878,14.800000000000002
23,0.19048447936188942,0.2089729970511125,0.8292266270693611,0.8199933426720756,0.7109435007852667,0.6984067510585396,14.800000000000002
24,0.1879010945558548,0.19580592275882253,0.8217857444987577,0.8291284697396415,0.7009037651267707,0.7100408381345321,14.800000000000002
25,0.19481882774362377,0.19112630158054586,0.8217283791186762,0.8333597268377032,0.7007947593343025,0.717852251262081,14.800000000000002
26,0.1757192274226862,0.18796490224040285,0.8391168970687717,0.8374665379524231,0.7260075509548187,0.7251289766661975,14.800000000000002
27,0.18938716720132268,0.19962343619186051,0.8263795247264937,0.8327827782047038,0.7068201408666723,0.7169324421152776,14.800000000000002
28,0.17143198716289856,0.20043186007105573,0.8438968272770152,0.8219928972575129,0.7326171129357582,0.7010738204936592,14.800000000000002
29,0.1790206084648768,0.17334529422983833,0.8295827589783014,0.8504962872485725,0.712693543995128,0.7423883202124615,14.800000000000002
30,0.17450891362101423,0.17939300211716672,0.841239168363459,0.8430506112624188,0.7284537203171674,0.7309552552748699,14.800000000000002
31,0.17015166595286013,0.18057361336386935,0.8447728951772054,0.8431127922875541,0.7335228955044466,0.7331225184761748,14.800000000000002
32,0.15654953496128904,0.17689622725759233,0.8570406775848538,0.850409591684536,0.7529963067933625,0.7420049139431545,14.800000000000002
33,0.17891745926702723,0.1875154482466834,0.8423921606119942,0.8359368406996435,0.7291111069567063,0.7220110838510552,14.800000000000002
34,0.17040509569878673,0.17433008642829195,0.8506912881252813,0.8558727697450288,0.7419173109765146,0.7494341755399898,14.800000000000002
35,0.1618549060618993,0.1653293307338442,0.8546969039926251,0.855243632988054,0.7488022492927255,0.7487325583185468,30.3
36,0.15398483325555487,0.16121674100963437,0.8640462351076811,0.8589402035791047,0.7620448603213412,0.7552559716360909,30.3
37,0.15374653048596335,0.16338916685508223,0.8618549883944316,0.8672689442731896,0.7594067118700268,0.767048852784293,30.3
