regime,method,nDCG@10,ci_low,ci_high,served_rate,n_queries,n_query_seed_rows
asymmetric,OAKG,0.25023876004140083,0.18959825287713572,0.31372172540573107,0.7297297297297297,111,222
asymmetric,OAKG-Union,0.3505167878231682,0.2887575724252433,0.41418508468784343,1.0,111,222
dataset_style,OAKG,0.16600403331592573,0.11509014683469912,0.22144225099675624,0.6171171171171171,111,444
dataset_style,OAKG-Union,0.24841641614967502,0.18558216021493826,0.31576489705272387,1.0,111,444
random,OAKG,0.31794001803181676,0.2511991485493584,0.38373733688731515,1.0,111,444
random,OAKG-Union,0.4105168046345282,0.3418507550380328,0.4807647482657391,1.0,111,444
uniform,OAKG,0.24014166837865938,0.17882279655883565,0.3052840404978374,1.0,111,111
uniform,OAKG-Union,0.3983180120162003,0.32780572212019266,0.4693274754460345,1.0,111,111
