regime,OAKG,OAKG_Union,delta_obs,ci_low,ci_high,p_value,n_queries,n_query_seed_rows,holm_p,significant_0_05
asymmetric,0.40586136493165503,0.3505167878231682,0.0553445771084868,0.0012225413866776287,0.10939881546312422,0.006799320067993201,111,222,0.006799320067993201,True
dataset_style,0.32162663820617987,0.24841641614967505,0.07321022205650479,0.00027398582073224505,0.14965407397187602,0.0007999200079992001,111,444,0.0015998400159984002,True
random,0.3179400180318168,0.4105168046345282,-0.09257678660271146,-0.12914642398539775,-0.059829574814240914,9.999000099990002e-05,111,444,0.00039996000399960006,True
uniform,0.24014166837865938,0.39831801201620043,-0.15817634363754102,-0.19909952937971662,-0.11993139073605265,9.999000099990002e-05,111,111,0.00039996000399960006,True
