Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU
1,0.34209875503223236,0.2742923917593779,0.6089720330417973,0.7422117039009377,0.4518229757167705,0.5987769442575949
2,0.20922563810871073,0.18874559137556288,0.7836664819554107,0.852811872959137,0.6493952382100772,0.7460477528748689
3,0.17166073808114823,0.15646147314045164,0.8336487982371082,0.8820130449754221,0.7171660664963395,0.7913465875166433
4,0.15742473234869028,0.15791614546819968,0.8509532058075683,0.8829792826263992,0.742832928324399,0.7940443533438223
5,0.14473257703732137,0.174797928167714,0.8625741444221915,0.8589052293035719,0.7601632733867593,0.7557152112325033
6,0.13975783784503806,0.14685678868382065,0.8656017192422527,0.8878625278119687,0.7649152523850742,0.8005646555512039
7,0.13703569687188488,0.15052311619122824,0.8724000545397197,0.8817468263484813,0.7754577426061239,0.7902388572692871
8,0.13118025901382915,0.1641502465914797,0.8766553994727462,0.8685509363810221,0.7820448031164196,0.7699796866487574
9,0.12804385203204743,0.1669943136749444,0.8798151878461445,0.8656861914528741,0.7870446654215251,0.7664790109351829
10,0.12649762350810717,0.13807679961125055,0.8807237912530769,0.9009622578267698,0.7887173056602478,0.8222369639961807
11,0.12315388557641474,0.1467336661837719,0.8857559040801166,0.8857822042924387,0.79643287903642,0.7969059966228627
12,0.12128970206600347,0.1605698929892646,0.8887358195161166,0.8607315730165552,0.8012471973079525,0.7579150023283782
13,0.11995930024614072,0.15160949804164744,0.8896202938197411,0.8723435401916504,0.8028324651391539,0.775500339490396
14,0.1171621163107761,0.16356832616859013,0.8931006950874851,0.8573738137880961,0.8083594088685022,0.752914031346639
15,0.11718586624076921,0.15641977279274552,0.8940633223481375,0.8678196492018523,0.8097706670630468,0.7686933367340653
16,0.11341522423780127,0.1482693006594976,0.8977309604213662,0.8755309670059769,0.8159621095004147,0.7809789600195708
17,0.11361535411991486,0.15487380767310108,0.897579970261822,0.8648954872731809,0.8155361910388894,0.7639667722913954
18,0.1121768615629575,0.15669321986260237,0.8985595523494564,0.8678910820572464,0.8170173582965381,0.768967279681453
19,0.11277884306156472,0.14554283629964898,0.8965530552276193,0.8687312161480939,0.8138970700028825,0.7694961185808535
20,0.10796956674081006,0.15337355986789422,0.9011098523662515,0.8668953092009933,0.8212987506226318,0.7669574243051035
21,0.10767804937411661,0.17057453427049848,0.9021230134245467,0.8440466589397855,0.8228680605757727,0.7319999557954294
22,0.1084730340499584,0.16257695384599544,0.9009571001954275,0.860136334542875,0.8210569768735807,0.7568212593043292
23,0.10756823138831413,0.17190468090551872,0.902143518892053,0.828060370904428,0.8229244315460936,0.7082891905749286
24,0.10558283401474561,0.16146820424883454,0.9026482291417579,0.8482983421396326,0.8237105000508975,0.7387694937211496
25,0.1052913174849667,0.15499501868530555,0.9041305586083295,0.8595373144856205,0.8262332504742766,0.7557197102793941
