method,nDCG@10,delta_vs_ZeroImp,ci_low,ci_high,served_rate,sig
WL,0.6407,0.0677,0.041,0.0941,1.0,SIG
OAKG,0.6157,0.0427,0.0192,0.0662,1.0,SIG
ZeroImp,0.573,0.0,0.0,0.0,1.0,
MissInd,0.5728,-0.0002,-0.001,0.0005,1.0,ns
MeanImp,0.5147,-0.0582,-0.0822,-0.0343,1.0,SIG
MaskedCos,0.1912,-0.3817,-0.4196,-0.3429,1.0,SIG
