method,nDCG@10,delta_vs_ZeroImp,ci_low,ci_high,served_rate,sig
WL,0.4918,0.0645,0.0156,0.1151,1.0,SIG
CompGCN,0.4333,0.0061,-0.0377,0.05,1.0,ns
MissInd,0.4297,0.0024,-0.0044,0.0093,1.0,ns
ZeroImp,0.4273,0.0,0.0,0.0,1.0,
OAKG,0.4125,-0.0147,-0.0529,0.0235,1.0,ns
MeanImp,0.3623,-0.065,-0.1156,-0.0157,1.0,SIG
MaskedCos,0.0921,-0.3352,-0.4074,-0.265,1.0,SIG
