stratum,family,query_id,query_source,method,metric,value,n_candidates,n_graded_relevant,n_binary_relevant
same-source,primary,Q0003,msd_pancreas,MissingnessIndicators,map,0.029411764705882353,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG,ndcg@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG,precision@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG,recall@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG,map,0.01098901098901099,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG-Union,ndcg@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG-Union,precision@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG-Union,recall@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG-Union,map,0.01098901098901099,280,2,1
same-source,primary,Q0003,msd_pancreas,WL,ndcg@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,WL,precision@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,WL,recall@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,WL,map,0.003745318352059925,280,2,1
same-source,primary,Q0003,msd_pancreas,ZeroImputation,ndcg@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,ZeroImputation,precision@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,ZeroImputation,recall@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,ZeroImputation,map,0.022222222222222223,280,2,1
same-source,primary,Q0004,msd_pancreas,MissingnessIndicators,ndcg@10,0.18457569677956817,280,2,2
same-source,primary,Q0004,msd_pancreas,MissingnessIndicators,precision@10,0.1,280,2,2
same-source,primary,Q0004,msd_pancreas,MissingnessIndicators,recall@10,0.5,280,2,2
same-source,primary,Q0004,msd_pancreas,MissingnessIndicators,map,0.07729468599033816,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG,ndcg@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG,precision@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG,recall@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG,map,0.02447089947089947,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG-Union,ndcg@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG-Union,precision@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG-Union,recall@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG-Union,map,0.02447089947089947,280,2,2
same-source,primary,Q0004,msd_pancreas,WL,ndcg@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,WL,precision@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,WL,recall@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,WL,map,0.005562696076398966,280,2,2
same-source,primary,Q0004,msd_pancreas,ZeroImputation,ndcg@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,ZeroImputation,precision@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,ZeroImputation,recall@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,ZeroImputation,map,0.06294326241134751,280,2,2
same-source,primary,Q0005,msd_pancreas,MissingnessIndicators,ndcg@10,1.0,280,280,131
same-source,primary,Q0005,msd_pancreas,MissingnessIndicators,precision@10,1.0,280,280,131
same-source,primary,Q0005,msd_pancreas,MissingnessIndicators,recall@10,0.07633587786259542,280,280,131
same-source,primary,Q0005,msd_pancreas,MissingnessIndicators,map,0.8559740824023147,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG,ndcg@10,0.5668339904824009,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG,precision@10,0.4,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG,recall@10,0.030534351145038167,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG,map,0.4589307977834549,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG-Union,ndcg@10,0.5668339904824009,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG-Union,precision@10,0.4,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG-Union,recall@10,0.030534351145038167,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG-Union,map,0.4589307977834549,280,280,131
same-source,primary,Q0005,msd_pancreas,WL,ndcg@10,1.0,280,280,131
same-source,primary,Q0005,msd_pancreas,WL,precision@10,1.0,280,280,131
same-source,primary,Q0005,msd_pancreas,WL,recall@10,0.07633587786259542,280,280,131
same-source,primary,Q0005,msd_pancreas,WL,map,0.6150030210276011,280,280,131
same-source,primary,Q0005,msd_pancreas,ZeroImputation,ndcg@10,1.0,280,280,131
same-source,primary,Q0005,msd_pancreas,ZeroImputation,precision@10,1.0,280,280,131
same-source,primary,Q0005,msd_pancreas,ZeroImputation,recall@10,0.07633587786259542,280,280,131
same-source,primary,Q0005,msd_pancreas,ZeroImputation,map,0.8412361578401114,280,280,131
same-source,primary,Q0006,msd_pancreas,MissingnessIndicators,ndcg@10,0.4785855021832139,280,280,132
same-source,primary,Q0006,msd_pancreas,MissingnessIndicators,precision@10,0.5,280,280,132
same-source,primary,Q0006,msd_pancreas,MissingnessIndicators,recall@10,0.03787878787878788,280,280,132
same-source,primary,Q0006,msd_pancreas,MissingnessIndicators,map,0.572999589059723,280,280,132
same-source,primary,Q0006,msd_pancreas,OAKG,ndcg@10,0.34254795019177736,280,280,132
same-source,primary,Q0006,msd_pancreas,OAKG,precision@10,0.3,280,280,132
same-source,primary,Q0006,msd_pancreas,OAKG,recall@10,0.022727272727272728,280,280,132
same-source,primary,Q0006,msd_pancreas,OAKG,map,0.4035119892720129,280,280,132
same-source,primary,Q0006,msd_pancreas,OAKG-Union,ndcg@10,0.34254795019177736,280,280,132
same-source,primary,Q0006,msd_pancreas,OAKG-Union,precision@10,0.3,280,280,132
same-source,primary,Q0006,msd_pancreas,OAKG-Union,recall@10,0.022727272727272728,280,280,132
same-source,primary,Q0006,msd_pancreas,OAKG-Union,map,0.4035119892720129,280,280,132
same-source,primary,Q0006,msd_pancreas,WL,ndcg@10,1.0,280,280,132
same-source,primary,Q0006,msd_pancreas,WL,precision@10,1.0,280,280,132
same-source,primary,Q0006,msd_pancreas,WL,recall@10,0.07575757575757576,280,280,132
same-source,primary,Q0006,msd_pancreas,WL,map,0.6192257683440769,280,280,132
same-source,primary,Q0006,msd_pancreas,ZeroImputation,ndcg@10,0.5564617857891865,280,280,132
same-source,primary,Q0006,msd_pancreas,ZeroImputation,precision@10,0.6,280,280,132
same-source,primary,Q0006,msd_pancreas,ZeroImputation,recall@10,0.045454545454545456,280,280,132
same-source,primary,Q0006,msd_pancreas,ZeroImputation,map,0.5963569427475518,280,280,132
same-source,primary,Q0007,msd_pancreas,MissingnessIndicators,ndcg@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,MissingnessIndicators,precision@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,MissingnessIndicators,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0007,msd_pancreas,MissingnessIndicators,map,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,OAKG,ndcg@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,OAKG,precision@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,OAKG,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0007,msd_pancreas,OAKG,map,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,OAKG-Union,ndcg@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,OAKG-Union,precision@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,OAKG-Union,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0007,msd_pancreas,OAKG-Union,map,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,WL,ndcg@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,WL,precision@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,WL,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0007,msd_pancreas,WL,map,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,ZeroImputation,ndcg@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,ZeroImputation,precision@10,1.0,280,280,280
same-source,primary,Q0007,msd_pancreas,ZeroImputation,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0007,msd_pancreas,ZeroImputation,map,1.0,280,280,280
same-source,primary,Q0008,msd_pancreas,MissingnessIndicators,ndcg@10,0.14285714285714285,280,280,132
same-source,primary,Q0008,msd_pancreas,MissingnessIndicators,precision@10,0.0,280,280,132
same-source,primary,Q0008,msd_pancreas,MissingnessIndicators,recall@10,0.0,280,280,132
same-source,primary,Q0008,msd_pancreas,MissingnessIndicators,map,0.30976806079937047,280,280,132
same-source,primary,Q0008,msd_pancreas,OAKG,ndcg@10,0.851554314272949,280,280,132
same-source,primary,Q0008,msd_pancreas,OAKG,precision@10,0.8,280,280,132
same-source,primary,Q0008,msd_pancreas,OAKG,recall@10,0.06060606060606061,280,280,132
same-source,primary,Q0008,msd_pancreas,OAKG,map,0.5987946820834158,280,280,132
same-source,primary,Q0008,msd_pancreas,OAKG-Union,ndcg@10,0.851554314272949,280,280,132
same-source,primary,Q0008,msd_pancreas,OAKG-Union,precision@10,0.8,280,280,132
same-source,primary,Q0008,msd_pancreas,OAKG-Union,recall@10,0.06060606060606061,280,280,132
same-source,primary,Q0008,msd_pancreas,OAKG-Union,map,0.5987946820834158,280,280,132
same-source,primary,Q0008,msd_pancreas,WL,ndcg@10,1.0,280,280,132
same-source,primary,Q0008,msd_pancreas,WL,precision@10,1.0,280,280,132
same-source,primary,Q0008,msd_pancreas,WL,recall@10,0.07575757575757576,280,280,132
same-source,primary,Q0008,msd_pancreas,WL,map,0.6191016412379202,280,280,132
same-source,primary,Q0008,msd_pancreas,ZeroImputation,ndcg@10,0.14285714285714285,280,280,132
same-source,primary,Q0008,msd_pancreas,ZeroImputation,precision@10,0.0,280,280,132
same-source,primary,Q0008,msd_pancreas,ZeroImputation,recall@10,0.0,280,280,132
same-source,primary,Q0008,msd_pancreas,ZeroImputation,map,0.30212283805435586,280,280,132
same-source,primary,Q0009,msd_pancreas,MissingnessIndicators,ndcg@10,0.7325293623813309,280,280,132
same-source,primary,Q0009,msd_pancreas,MissingnessIndicators,precision@10,0.7,280,280,132
same-source,primary,Q0009,msd_pancreas,MissingnessIndicators,recall@10,0.05303030303030303,280,280,132
same-source,primary,Q0009,msd_pancreas,MissingnessIndicators,map,0.43024294979212174,280,280,132
same-source,primary,Q0009,msd_pancreas,OAKG,ndcg@10,0.7221746306981014,280,280,132
same-source,primary,Q0009,msd_pancreas,OAKG,precision@10,0.6,280,280,132
same-source,primary,Q0009,msd_pancreas,OAKG,recall@10,0.045454545454545456,280,280,132
same-source,primary,Q0009,msd_pancreas,OAKG,map,0.48628830284979535,280,280,132
same-source,primary,Q0009,msd_pancreas,OAKG-Union,ndcg@10,0.7221746306981014,280,280,132
same-source,primary,Q0009,msd_pancreas,OAKG-Union,precision@10,0.6,280,280,132
same-source,primary,Q0009,msd_pancreas,OAKG-Union,recall@10,0.045454545454545456,280,280,132
same-source,primary,Q0009,msd_pancreas,OAKG-Union,map,0.48628830284979535,280,280,132
same-source,primary,Q0009,msd_pancreas,WL,ndcg@10,1.0,280,280,132
same-source,primary,Q0009,msd_pancreas,WL,precision@10,1.0,280,280,132
same-source,primary,Q0009,msd_pancreas,WL,recall@10,0.07575757575757576,280,280,132
same-source,primary,Q0009,msd_pancreas,WL,map,0.6188786960132405,280,280,132
same-source,primary,Q0009,msd_pancreas,ZeroImputation,ndcg@10,0.6753285668491982,280,280,132
same-source,primary,Q0009,msd_pancreas,ZeroImputation,precision@10,0.6,280,280,132
same-source,primary,Q0009,msd_pancreas,ZeroImputation,recall@10,0.045454545454545456,280,280,132
same-source,primary,Q0009,msd_pancreas,ZeroImputation,map,0.4273645426798933,280,280,132
same-source,primary,Q0010,msd_pancreas,MissingnessIndicators,ndcg@10,0.8836981896647146,280,131,68
same-source,primary,Q0010,msd_pancreas,MissingnessIndicators,precision@10,0.8,280,131,68
same-source,primary,Q0010,msd_pancreas,MissingnessIndicators,recall@10,0.11764705882352941,280,131,68
same-source,primary,Q0010,msd_pancreas,MissingnessIndicators,map,0.4454386991715561,280,131,68
same-source,primary,Q0010,msd_pancreas,OAKG,ndcg@10,1.0,280,131,68
same-source,primary,Q0010,msd_pancreas,OAKG,precision@10,1.0,280,131,68
same-source,primary,Q0010,msd_pancreas,OAKG,recall@10,0.14705882352941177,280,131,68
same-source,primary,Q0010,msd_pancreas,OAKG,map,0.5719102679701071,280,131,68
same-source,primary,Q0010,msd_pancreas,OAKG-Union,ndcg@10,1.0,280,131,68
same-source,primary,Q0010,msd_pancreas,OAKG-Union,precision@10,1.0,280,131,68
same-source,primary,Q0010,msd_pancreas,OAKG-Union,recall@10,0.14705882352941177,280,131,68
same-source,primary,Q0010,msd_pancreas,OAKG-Union,map,0.5719102679701071,280,131,68
same-source,primary,Q0010,msd_pancreas,WL,ndcg@10,0.6916772184127177,280,131,68
same-source,primary,Q0010,msd_pancreas,WL,precision@10,0.7,280,131,68
same-source,primary,Q0010,msd_pancreas,WL,recall@10,0.10294117647058823,280,131,68
same-source,primary,Q0010,msd_pancreas,WL,map,0.47150229164415725,280,131,68
same-source,primary,Q0010,msd_pancreas,ZeroImputation,ndcg@10,0.820814827865263,280,131,68
same-source,primary,Q0010,msd_pancreas,ZeroImputation,precision@10,0.7,280,131,68
same-source,primary,Q0010,msd_pancreas,ZeroImputation,recall@10,0.10294117647058823,280,131,68
same-source,primary,Q0010,msd_pancreas,ZeroImputation,map,0.4033908042188228,280,131,68
same-source,primary,Q0011,msd_pancreas,MissingnessIndicators,ndcg@10,0.13568544539116628,280,132,132
same-source,primary,Q0011,msd_pancreas,MissingnessIndicators,precision@10,0.2,280,132,132
same-source,primary,Q0011,msd_pancreas,MissingnessIndicators,recall@10,0.015151515151515152,280,132,132
same-source,primary,Q0011,msd_pancreas,MissingnessIndicators,map,0.3372539196639786,280,132,132
