regime,seed,query_id,method,nDCG@10
uniform,0,LiTs-021,OAKG,1.0
uniform,0,LiTs-021,OAKG-Union,1.0
uniform,0,LiTs-022,OAKG,1.0
uniform,0,LiTs-022,OAKG-Union,1.0
uniform,0,LiTs-024,OAKG,0.009088684028421674
uniform,0,LiTs-024,OAKG-Union,0.009088684028421674
uniform,0,LiTs-041,OAKG,1.0
uniform,0,LiTs-041,OAKG-Union,1.0
uniform,0,LiTs-044,OAKG,0.6489315753318466
uniform,0,LiTs-044,OAKG-Union,0.6489315753318466
uniform,0,LiTs-045,OAKG,0.2329726085570736
uniform,0,LiTs-045,OAKG-Union,0.2329726085570736
uniform,0,LiTs-046,OAKG,0.0
uniform,0,LiTs-046,OAKG-Union,0.0
uniform,0,LiTs-047,OAKG,1.0
uniform,0,LiTs-047,OAKG-Union,1.0
uniform,0,LiTs-059,OAKG,1.0
uniform,0,LiTs-059,OAKG-Union,1.0
uniform,0,LiTs-066,OAKG,1.0
uniform,0,LiTs-066,OAKG-Union,1.0
uniform,0,LiTs-067,OAKG,0.013541194909935826
uniform,0,LiTs-067,OAKG-Union,0.013541194909935826
uniform,0,LiTs-076,OAKG,0.5933607200949346
uniform,0,LiTs-076,OAKG-Union,0.5933607200949346
uniform,0,LiTs-082,OAKG,0.2200917662980802
uniform,0,LiTs-082,OAKG-Union,0.2200917662980802
uniform,0,LiTs-083,OAKG,0.14285714285714285
uniform,0,LiTs-083,OAKG-Union,0.14285714285714285
uniform,0,LiTs-086,OAKG,0.314880130667631
uniform,0,LiTs-086,OAKG-Union,0.314880130667631
uniform,0,LiTs-087,OAKG,0.0
uniform,0,LiTs-087,OAKG-Union,0.0
uniform,0,LiTs-089,OAKG,0.0
uniform,0,LiTs-089,OAKG-Union,0.0
uniform,0,LiTs-102,OAKG,0.5473983622993501
uniform,0,LiTs-102,OAKG-Union,0.5473983622993501
uniform,0,LiTs-104,OAKG,1.0
uniform,0,LiTs-104,OAKG-Union,1.0
uniform,0,LiTs-105,OAKG,1.0
uniform,0,LiTs-105,OAKG-Union,1.0
uniform,0,LiTs-111,OAKG,0.35459765152630157
uniform,0,LiTs-111,OAKG-Union,0.35459765152630157
uniform,0,LiTs-128,OAKG,0.5803013296579812
uniform,0,LiTs-128,OAKG-Union,0.5803013296579812
uniform,0,LiTs-130,OAKG,1.0
uniform,0,LiTs-130,OAKG-Union,1.0
uniform,0,FLARE22_Tr_0006,OAKG,0.07839826897867534
uniform,0,FLARE22_Tr_0006,OAKG-Union,0.07839826897867534
uniform,0,FLARE22_Tr_0010,OAKG,0.2863459897524692
uniform,0,FLARE22_Tr_0010,OAKG-Union,0.2863459897524692
uniform,0,FLARE22_Tr_0011,OAKG,0.0
uniform,0,FLARE22_Tr_0011,OAKG-Union,0.0
uniform,0,FLARE22_Tr_0014,OAKG,0.07336392209936006
uniform,0,FLARE22_Tr_0014,OAKG-Union,0.07336392209936006
uniform,0,FLARE22_Tr_0018,OAKG,0.2317730746678626
uniform,0,FLARE22_Tr_0018,OAKG-Union,0.2317730746678626
uniform,0,FLARE22_Tr_0021,OAKG,0.0
uniform,0,FLARE22_Tr_0021,OAKG-Union,0.0
uniform,0,FLARE22_Tr_0025,OAKG,0.3120490772217807
uniform,0,FLARE22_Tr_0025,OAKG-Union,0.3120490772217807
uniform,0,FLARE22_Tr_0028,OAKG,0.41115323210409144
uniform,0,FLARE22_Tr_0028,OAKG-Union,0.41115323210409144
uniform,0,FLARE22_Tr_0031,OAKG,0.37859880603906126
uniform,0,FLARE22_Tr_0031,OAKG-Union,0.37859880603906126
uniform,0,FLARE22_Tr_0036,OAKG,0.14285714285714285
uniform,0,FLARE22_Tr_0036,OAKG-Union,0.14285714285714285
uniform,0,FLARE22_Tr_0038,OAKG,0.2866919347890072
uniform,0,FLARE22_Tr_0038,OAKG-Union,0.2866919347890072
uniform,0,FLARE22_Tr_0043,OAKG,0.0
uniform,0,FLARE22_Tr_0043,OAKG-Union,0.0
uniform,0,FLARE22_Tr_0045,OAKG,0.37521868940541137
uniform,0,FLARE22_Tr_0045,OAKG-Union,0.37521868940541137
uniform,0,FLARE22_Tr_0050,OAKG,0.3660246186928026
uniform,0,FLARE22_Tr_0050,OAKG-Union,0.3660246186928026
uniform,0,FLARETs_0003,OAKG,0.0
uniform,0,FLARETs_0003,OAKG-Union,0.0
uniform,0,FLARETs_0006,OAKG,0.5991460842621132
uniform,0,FLARETs_0006,OAKG-Union,0.5991460842621132
uniform,0,FLARETs_0021,OAKG,0.3094454128949909
uniform,0,FLARETs_0021,OAKG-Union,0.3094454128949909
uniform,0,FLARETs_0023,OAKG,0.712936470508769
uniform,0,FLARETs_0023,OAKG-Union,0.712936470508769
uniform,0,FLARETs_0024,OAKG,0.7508931700414944
uniform,0,FLARETs_0024,OAKG-Union,0.7508931700414944
uniform,0,FLARETs_0033,OAKG,0.0
uniform,0,FLARETs_0033,OAKG-Union,0.0
uniform,0,FLARETs_0034,OAKG,0.12989283987529457
uniform,0,FLARETs_0034,OAKG-Union,0.12989283987529457
uniform,0,FLARETs_0035,OAKG,0.5232512984721256
uniform,0,FLARETs_0035,OAKG-Union,0.5232512984721256
uniform,0,FLARETs_0036,OAKG,0.5814149852926773
uniform,0,FLARETs_0036,OAKG-Union,0.5814149852926773
uniform,0,FLARETs_0039,OAKG,0.17405014866116933
uniform,0,FLARETs_0039,OAKG-Union,0.17405014866116933
uniform,0,FLARETs_0044,OAKG,0.5841877397823976
uniform,0,FLARETs_0044,OAKG-Union,0.4988207993800992
uniform,0,FLARETs_0050,OAKG,0.2808936467062342
uniform,0,FLARETs_0050,OAKG-Union,0.2808936467062342
random,0,pancreas_001,OAKG,1.0
random,0,pancreas_001,OAKG-Union,1.0
random,0,pancreas_012,OAKG,0.21306158485699
random,0,pancreas_012,OAKG-Union,0.21306158485699
random,0,pancreas_042,OAKG,0.0
random,0,pancreas_042,OAKG-Union,0.0
random,0,pancreas_058,OAKG,0.0
random,0,pancreas_058,OAKG-Union,0.0
random,0,pancreas_077,OAKG,0.0
random,0,pancreas_077,OAKG-Union,0.0
random,0,pancreas_080,OAKG,0.5668339904824009
random,0,pancreas_080,OAKG-Union,0.5668339904824009
random,0,pancreas_081,OAKG,0.3425479501917774
random,0,pancreas_081,OAKG-Union,0.3425479501917774
random,0,pancreas_084,OAKG,1.0
random,0,pancreas_084,OAKG-Union,1.0
random,0,pancreas_086,OAKG,0.8515543142729491
random,0,pancreas_086,OAKG-Union,0.8515543142729491
random,0,pancreas_089,OAKG,0.7221746306981013
random,0,pancreas_089,OAKG-Union,0.7221746306981013
random,0,pancreas_091,OAKG,1.0
random,0,pancreas_091,OAKG-Union,1.0
random,0,pancreas_092,OAKG,0.21819512777735
random,0,pancreas_092,OAKG-Union,0.21819512777735
random,0,pancreas_094,OAKG,1.0
random,0,pancreas_094,OAKG-Union,1.0
random,0,pancreas_104,OAKG,0.14285714285714285
random,0,pancreas_104,OAKG-Union,0.14285714285714285
random,0,pancreas_110,OAKG,1.0
random,0,pancreas_110,OAKG-Union,1.0
random,0,pancreas_113,OAKG,0.9371166382005486
random,0,pancreas_113,OAKG-Union,0.9371166382005486
random,0,pancreas_114,OAKG,0.0
random,0,pancreas_114,OAKG-Union,0.0
random,0,pancreas_117,OAKG,0.4309322110679313
random,0,pancreas_117,OAKG-Union,0.4309322110679313
random,0,pancreas_119,OAKG,0.94546789582947
random,0,pancreas_119,OAKG-Union,0.94546789582947
random,0,pancreas_120,OAKG,0.0
random,0,pancreas_120,OAKG-Union,0.0
random,0,pancreas_124,OAKG,0.9363792118010483
random,0,pancreas_124,OAKG-Union,0.9363792118010483
random,0,pancreas_130,OAKG,0.31708532520472715
random,0,pancreas_130,OAKG-Union,0.31708532520472715
random,0,pancreas_131,OAKG,0.31708532520472715
random,0,pancreas_131,OAKG-Union,0.31708532520472715
random,0,pancreas_159,OAKG,0.15090863280404943
random,0,pancreas_159,OAKG-Union,0.15090863280404943
random,0,pancreas_169,OAKG,0.0
random,0,pancreas_169,OAKG-Union,0.0
random,0,pancreas_186,OAKG,0.31708532520472715
random,0,pancreas_186,OAKG-Union,0.31708532520472715
random,0,pancreas_193,OAKG,0.637161318481177
random,0,pancreas_193,OAKG-Union,0.637161318481177
random,0,pancreas_199,OAKG,0.0
random,0,pancreas_199,OAKG-Union,0.0
random,0,pancreas_204,OAKG,0.0
random,0,pancreas_204,OAKG-Union,0.0
random,0,pancreas_207,OAKG,0.0
random,0,pancreas_207,OAKG-Union,0.0
random,0,pancreas_213,OAKG,0.0
random,0,pancreas_213,OAKG-Union,0.0
random,0,pancreas_214,OAKG,0.0
random,0,pancreas_214,OAKG-Union,0.0
random,0,pancreas_229,OAKG,0.0
random,0,pancreas_229,OAKG-Union,0.0
random,0,pancreas_244,OAKG,1.0
random,0,pancreas_244,OAKG-Union,1.0
random,0,pancreas_246,OAKG,1.0
random,0,pancreas_246,OAKG-Union,1.0
random,0,pancreas_255,OAKG,0.41939799988819826
random,0,pancreas_255,OAKG-Union,0.41939799988819826
random,0,pancreas_258,OAKG,1.0
random,0,pancreas_258,OAKG-Union,1.0
random,0,pancreas_266,OAKG,0.6261043923059076
random,0,pancreas_266,OAKG-Union,0.6261043923059076
random,0,pancreas_269,OAKG,0.24789885215535917
random,0,pancreas_269,OAKG-Union,0.24789885215535917
random,0,pancreas_280,OAKG,1.0
random,0,pancreas_280,OAKG-Union,1.0
random,0,pancreas_283,OAKG,1.0
random,0,pancreas_283,OAKG-Union,1.0
random,0,pancreas_289,OAKG,0.0
random,0,pancreas_289,OAKG-Union,0.0
random,0,pancreas_294,OAKG,0.5637884576902256
random,0,pancreas_294,OAKG-Union,0.5637884576902256
random,0,pancreas_297,OAKG,0.0
random,0,pancreas_297,OAKG-Union,0.0
random,0,pancreas_300,OAKG,0.0
random,0,pancreas_300,OAKG-Union,0.0
random,0,pancreas_303,OAKG,0.0
random,0,pancreas_303,OAKG-Union,0.0
random,0,pancreas_304,OAKG,0.01048056029990858
random,0,pancreas_304,OAKG-Union,0.01048056029990858
random,0,pancreas_315,OAKG,0.09031040361479109
random,0,pancreas_315,OAKG-Union,0.09031040361479109
random,0,pancreas_328,OAKG,0.0
random,0,pancreas_328,OAKG-Union,0.0
random,0,pancreas_329,OAKG,0.5672274908036508
random,0,pancreas_329,OAKG-Union,0.5672274908036508
random,0,pancreas_334,OAKG,0.0
random,0,pancreas_334,OAKG-Union,0.0
random,0,pancreas_345,OAKG,0.3354257508767642
random,0,pancreas_345,OAKG-Union,0.3354257508767642
random,0,pancreas_364,OAKG,0.31708532520472715
random,0,pancreas_364,OAKG-Union,0.31708532520472715
random,0,pancreas_366,OAKG,0.0
random,0,pancreas_366,OAKG-Union,0.0
random,0,pancreas_372,OAKG,1.0
random,0,pancreas_372,OAKG-Union,1.0
random,0,pancreas_377,OAKG,0.685035554235118
random,0,pancreas_377,OAKG-Union,0.685035554235118
random,0,pancreas_386,OAKG,0.0
random,0,pancreas_386,OAKG-Union,0.0
random,0,pancreas_387,OAKG,0.14285714285714285
random,0,pancreas_387,OAKG-Union,0.14285714285714285
random,0,pancreas_391,OAKG,1.0
random,0,pancreas_391,OAKG-Union,1.0
random,0,pancreas_409,OAKG,0.0
random,0,pancreas_409,OAKG-Union,0.0
random,0,LiTs-014,OAKG,0.0
random,0,LiTs-014,OAKG-Union,0.0
random,0,LiTs-015,OAKG,0.0
random,0,LiTs-015,OAKG-Union,0.0
random,0,LiTs-021,OAKG,1.0
random,0,LiTs-021,OAKG-Union,1.0
random,0,LiTs-022,OAKG,1.0
random,0,LiTs-022,OAKG-Union,1.0
random,0,LiTs-024,OAKG,0.009088684028421674
random,0,LiTs-024,OAKG-Union,0.009088684028421674
random,0,LiTs-041,OAKG,1.0
random,0,LiTs-041,OAKG-Union,1.0
random,0,LiTs-044,OAKG,0.6489315753318466
random,0,LiTs-044,OAKG-Union,0.6489315753318466
random,0,LiTs-045,OAKG,0.2329726085570736
random,0,LiTs-045,OAKG-Union,0.2329726085570736
random,0,LiTs-046,OAKG,0.0
random,0,LiTs-046,OAKG-Union,0.0
random,0,LiTs-047,OAKG,1.0
random,0,LiTs-047,OAKG-Union,1.0
random,0,LiTs-059,OAKG,1.0
random,0,LiTs-059,OAKG-Union,1.0
random,0,LiTs-066,OAKG,1.0
random,0,LiTs-066,OAKG-Union,1.0
random,0,LiTs-067,OAKG,0.013541194909935826
random,0,LiTs-067,OAKG-Union,0.013541194909935826
random,0,LiTs-076,OAKG,0.5933607200949346
random,0,LiTs-076,OAKG-Union,0.5933607200949346
random,0,LiTs-082,OAKG,0.2200917662980802
random,0,LiTs-082,OAKG-Union,0.2200917662980802
random,0,LiTs-083,OAKG,0.14285714285714285
random,0,LiTs-083,OAKG-Union,0.14285714285714285
random,0,LiTs-086,OAKG,0.314880130667631
random,0,LiTs-086,OAKG-Union,0.314880130667631
random,0,LiTs-087,OAKG,0.0
random,0,LiTs-087,OAKG-Union,0.0
random,0,LiTs-089,OAKG,0.0
random,0,LiTs-089,OAKG-Union,0.0
random,0,LiTs-102,OAKG,0.5473983622993501
random,0,LiTs-102,OAKG-Union,0.5473983622993501
random,0,LiTs-104,OAKG,1.0
random,0,LiTs-104,OAKG-Union,1.0
random,0,LiTs-105,OAKG,1.0
random,0,LiTs-105,OAKG-Union,1.0
random,0,LiTs-111,OAKG,0.35459765152630157
random,0,LiTs-111,OAKG-Union,0.35459765152630157
random,0,LiTs-128,OAKG,0.5803013296579812
random,0,LiTs-128,OAKG-Union,0.5803013296579812
random,0,LiTs-130,OAKG,1.0
random,0,LiTs-130,OAKG-Union,1.0
random,0,FLARE22_Tr_0006,OAKG,0.44326416469634355
random,0,FLARE22_Tr_0006,OAKG-Union,0.44326416469634355
random,0,FLARE22_Tr_0010,OAKG,0.2520841973226125
random,0,FLARE22_Tr_0010,OAKG-Union,0.2520841973226125
random,0,FLARE22_Tr_0011,OAKG,0.2883820513943218
random,0,FLARE22_Tr_0011,OAKG-Union,0.2883820513943218
random,0,FLARE22_Tr_0014,OAKG,0.09695184207200973
random,0,FLARE22_Tr_0014,OAKG-Union,0.09695184207200973
random,0,FLARE22_Tr_0018,OAKG,0.2735872697693364
random,0,FLARE22_Tr_0018,OAKG-Union,0.2735872697693364
random,0,FLARE22_Tr_0021,OAKG,0.13979375764430893
random,0,FLARE22_Tr_0021,OAKG-Union,0.13979375764430893
random,0,FLARE22_Tr_0025,OAKG,0.3187939258847263
random,0,FLARE22_Tr_0025,OAKG-Union,0.3187939258847263
random,0,FLARE22_Tr_0028,OAKG,0.3631075467533753
random,0,FLARE22_Tr_0028,OAKG-Union,0.3631075467533753
random,0,FLARE22_Tr_0031,OAKG,0.0
random,0,FLARE22_Tr_0031,OAKG-Union,0.0
random,0,FLARE22_Tr_0036,OAKG,0.576023152374742
