regime,OAKG,OAKG_Union,delta_obs,ci_low,ci_high,p_value,oakg_served_rate,n_queries,n_query_seed_rows,holm_p,significant_0_05
asymmetric,0.26298957913432325,0.3505167878231682,-0.08752720868884485,-0.1274494450325794,-0.05174078462409746,9.999000099990002e-05,0.7297297297297297,111,222,0.00039996000399960006,True
dataset_style,0.20574038710909992,0.2494842830683425,-0.043743895959242565,-0.07165026098724714,-0.020705242842441116,9.999000099990002e-05,0.6171171171171171,111,444,0.00039996000399960006,True
random,0.4026940192497255,0.412423530939273,-0.009729511689547473,-0.023494571451326378,0.0002605494344565998,9.999000099990002e-05,1.0,111,444,0.00039996000399960006,True
uniform,0.39908708355135625,0.39831801201620043,0.0007690715351558412,0.0,0.0023072146054675235,1.0,1.0,111,111,1.0,False
