regime,method,nDCG@10,ci_low,ci_high,served_rate,n_queries,n_query_seed_rows
asymmetric,OAKG,0.26298957913432325,0.2010024336798563,0.3278184389947206,0.7297297297297297,111,222
asymmetric,OAKG-Union,0.3505167878231682,0.2887575724252433,0.41418508468784343,1.0,111,222
dataset_style,OAKG,0.20574038710909992,0.14801441819875405,0.2673007644106809,0.6171171171171171,111,444
dataset_style,OAKG-Union,0.24948428306834247,0.18692554089139216,0.3173575820915802,1.0,111,444
random,OAKG,0.4026940192497255,0.3345263890688715,0.4706123167350188,1.0,111,444
random,OAKG-Union,0.4124235309392729,0.3438283571595697,0.48274154972345934,1.0,111,444
uniform,OAKG,0.3990870835513562,0.32819607228888004,0.4713101542809777,1.0,111,111
uniform,OAKG-Union,0.3983180120162003,0.32780572212019266,0.4693274754460345,1.0,111,111
