Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU,PctData,k
1,0.5201117381453514,0.4231014850765768,0.47986649284139277,0.5359293269087569,0.3396053197328001,0.37263988455136615,15.777496839443742,1.0
2,0.33525726199150085,0.39477445441063,0.6472288846969605,0.5864674743979869,0.4895707041025162,0.4223426463025989,15.777496839443742,1.0
3,0.3351065322756767,0.3881692740351263,0.653873273730278,0.5909697268948411,0.4899882197380066,0.4264555775155925,15.777496839443742,1.0
4,0.32999802753329277,0.35967697413882826,0.6743114739656448,0.626098913676811,0.5142858013510704,0.46386929142354716,15.777496839443742,1.0
5,0.33118198066949844,0.36872642389451615,0.654503983259201,0.6251843213432967,0.4917509987950325,0.4611139607549918,15.777496839443742,1.0
6,0.3239995688199997,0.36689719331986975,0.6577005833387375,0.6111987790074012,0.4956790551543236,0.44779220569615413,15.777496839443742,1.0
7,0.3053493045270443,0.37660122881032,0.6932977974414826,0.590617314131573,0.53446444272995,0.42669529881742263,15.777496839443742,1.0
8,0.3233912006534379,0.35560316133378733,0.6606651261962694,0.6304208503829108,0.49908192918218414,0.46482690009805894,23.560785697894577,0.5
9,0.3226786731132146,0.3528343244935527,0.6679656079103207,0.6219929908261155,0.5078321643944445,0.458600842591488,23.560785697894577,0.5
10,0.315813935779292,0.3438459898185248,0.6700328341845808,0.6402475860985842,0.5104167106850394,0.4774581621391605,23.560785697894577,0.5
11,0.2929159749684663,0.3165069196862404,0.6930468873731022,0.661936451389332,0.5374292911126696,0.5009374611004435,23.560785697894577,0.5
12,0.28536132003726633,0.32038191698416313,0.7032282218850893,0.6664175023936262,0.5485338558410776,0.5062614440014868,23.560785697894577,0.5
13,0.2821603846447221,0.32321344978279537,0.7035467480791027,0.6624496826017746,0.5488644756119827,0.5021399059379944,23.560785697894577,0.5
14,0.2772895372633276,0.3272592333531139,0.7056222116125042,0.659396603552982,0.5501874197145988,0.49706503327446755,23.560785697894577,0.5
15,0.29515346193996567,0.3075852172844338,0.6912763298799595,0.6728705252059782,0.5359916193410754,0.5132647454738617,30.055784208770348,0.25
16,0.2923802922790249,0.28998336828116217,0.6951632052659988,0.6989522531177058,0.5375590740392605,0.5423636674278914,30.055784208770348,0.25
17,0.27730006258934736,0.31094157996803823,0.7122436299299201,0.6743253589880587,0.5582252337286869,0.513109169825159,30.055784208770348,0.25
18,0.2680689198896289,0.2848008770232249,0.7246304210275412,0.7019132086724946,0.5732246516272426,0.5469973695398581,30.055784208770348,0.25
19,0.26432148134335876,0.3022420117349336,0.7227545337130626,0.6826667481600636,0.570130068808794,0.5250485014132779,30.055784208770348,0.25
20,0.260812617217501,0.29072394696148957,0.725519220965604,0.7007334244371665,0.57475235996147,0.5446232530203733,30.055784208770348,0.25
21,0.25937556436595816,0.3036039229294266,0.7271278230473399,0.6928912909946057,0.5764720203975836,0.5345064475379809,30.055784208770348,0.25
22,0.261753668272218,0.283180733446521,0.7276260730370071,0.7057857013712026,0.5768272724262503,0.5512243810326162,35.654561740876495,0.125
23,0.2470016343186992,0.27284245509089844,0.7396487348763517,0.7176283531718783,0.5922951008691344,0.5650761389371121,35.654561740876495,0.125
24,0.23637997491877208,0.2840718687182725,0.7584254764771277,0.7084668983112682,0.6147279586902884,0.5543331190793201,35.654561740876495,0.125
25,0.23878753820593043,0.27315594481699396,0.7589392250822496,0.7153760327233208,0.6151934316916059,0.5617874975156303,35.654561740876495,0.125
26,0.24010006476973378,0.2690172186403563,0.7496646065120549,0.7289081920276989,0.6038482196109239,0.5793370893507293,35.654561740876495,0.125
27,0.22612535087175148,0.2645822168901713,0.7634537511093672,0.725804556499828,0.6211008517317069,0.5744125117557217,35.654561740876495,0.125
28,0.21667850046425827,0.2586010271551633,0.7722574698832608,0.733812874916828,0.6325913459755653,0.5853770173559285,35.654561740876495,0.125
29,0.2128650003740954,0.26432814509278596,0.7798531106276105,0.7284530368116167,0.6426150745661684,0.5784840165364622,35.654561740876495,0.125
