Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU
1,0.10593644821048351,0.08028759538824788,0.9080795208619389,0.9338485592512915,0.836283290798964,0.8763345885397819
2,0.05789739268286369,0.05344224121743047,0.9511248059239442,0.9562137771378919,0.9072683929185249,0.9163678560765262
3,0.05072393072437698,0.049787726830029244,0.9578172609569763,0.9591604404643103,0.9193894548443403,0.9217774598731607
4,0.04616455209182322,0.04552999695734627,0.9608121330280619,0.9626983022931869,0.9249127364825112,0.9282989120725448
5,0.04387835467002311,0.04884438124972249,0.963137734193814,0.9602654915170621,0.9291918463294964,0.9238051893142274
6,0.042891402582116094,0.04566455443347166,0.9644037595319324,0.9644903785686203,0.9315035804784283,0.931608276016216
7,0.04091362578242903,0.04163215442697711,0.9657375151729342,0.9664806197137397,0.933979072822246,0.9353282454655255
8,0.038955691279405597,0.041641956379608755,0.9668614706817394,0.9662787899148041,0.9360734111093354,0.9349346672217858
9,0.03895135450010038,0.039796272614204944,0.9678476539924457,0.9684430981045447,0.9378883669761114,0.9389728198801806
10,0.036317095806611535,0.03987938178901745,0.9698497316737339,0.9684622085033939,0.9416221398031848,0.9390049964038248
11,0.03595944586786261,0.03760630963133828,0.9699846680691463,0.9700101952867459,0.9418804539507196,0.9418996684442317
12,0.03486496639784705,0.03757941156512287,0.9706279229102929,0.970415226699132,0.9430892694708353,0.9426675139344888
13,0.03419293485655245,0.03762003130794782,0.9715246194654075,0.9703800847687697,0.944752171086538,0.9426010783553729
