Epoch,TrLoss,VaLoss,TrDice,VaDice,TrIoU,VaIoU,PctData
1,0.5176789538334992,0.4187918977439404,0.42201966732361557,0.5127092617750167,0.27920767900107774,0.3567894954234362,14.800000000000002
2,0.4404986836647583,0.43943065896630285,0.4774349932953463,0.5447047518193722,0.32656682289000283,0.3838143610954285,14.800000000000002
3,0.4117243920089835,0.39854133769869804,0.5223914978362746,0.547628195732832,0.36721360456135316,0.38997947439551356,14.800000000000002
4,0.38676914926302636,0.381949408352375,0.538680920408944,0.5896351374685764,0.3813317428200932,0.42915994837880134,14.800000000000002
5,0.37785799068919684,0.3610187390446663,0.5685341444055912,0.5986392205953598,0.4095146589738838,0.4397112897783518,14.800000000000002
6,0.36212512130959557,0.3696794471144676,0.603018539941917,0.5894932712614537,0.4447019603419102,0.4328965549170971,14.800000000000002
7,0.36593662341267374,0.36462014287710187,0.6109209803201384,0.621866949647665,0.4509511808470144,0.46308920115232466,14.800000000000002
8,0.34358838225825356,0.3617697374522686,0.6255138031506943,0.6176070393621922,0.4682588670087063,0.461051464676857,14.800000000000002
9,0.33561366910146456,0.3404922641813755,0.6460510189250365,0.6395260605216027,0.489577852820946,0.47830881997942926,14.800000000000002
10,0.3362177687428765,0.33560909166932107,0.6226748215445017,0.6415562847256661,0.46595130905003873,0.48372465699911116,14.800000000000002
11,0.33348369434223335,0.329919835627079,0.6500271765862481,0.6536682051420212,0.4947692232869439,0.4956392103433609,14.800000000000002
12,0.3194894439588159,0.32391668781638144,0.6560630204819017,0.6692954832315445,0.4990079141521858,0.5142166335880757,14.800000000000002
13,0.3163706460746668,0.31220438092947006,0.6672185506608527,0.6654090076684952,0.5131677318427522,0.5087918661534786,14.800000000000002
14,0.31862873508263445,0.33065346658229827,0.6674586708767939,0.6542773213982582,0.5127751690856481,0.4950263758003712,14.800000000000002
15,0.3074458408153663,0.3130343914031982,0.6737823435815714,0.6825600743293763,0.5184049485093456,0.5302019229531288,14.800000000000002
16,0.3044471225496066,0.30506776928901674,0.6788022116584292,0.690640819966793,0.5262728476170766,0.5386254626512528,14.800000000000002
17,0.2930730597700103,0.3244100379943848,0.6867293119430542,0.6460203123092652,0.534000766731925,0.4893022619187832,14.800000000000002
18,0.3083008406525951,0.32274903208017347,0.677529136003074,0.6599701112508773,0.524857451223721,0.502806004434824,14.800000000000002
19,0.30160694847167546,0.3201277656853199,0.6839876397181366,0.6703042653203011,0.5290872496315988,0.5131653951108456,14.800000000000002
20,0.30202834851155846,0.3130751386284828,0.6925373516850553,0.6862478870153427,0.5422561637173264,0.5328934057056904,14.800000000000002
